"",BBFB1.M.N.DE.W1.S1KK.S1.T.LD.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1KK.S1.T.LD.FA.P.F3.S._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Public issuers / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:21,
1991-01,1.524,
1991-02,27.401,
1991-03,20.758,
1991-04,24.938,
1991-05,2.465,
1991-06,27.653,
1991-07,428.704,
1991-08,21.223,
1991-09,133.175,
1991-10,111.537,
1991-11,94.871,
1991-12,75.772,
1992-01,46.768,
1992-02,444.698,
1992-03,58.161,
1992-04,160.022,
1992-05,23.698,
1992-06,211.312,
1992-07,1087.474,
1992-08,221.301,
1992-09,1.055,
1992-10,2.237,
1992-11,1.674,
1992-12,1.808,
1993-01,297.718,
1993-02,667.766,
1993-03,70.157,
1993-04,2.491,
1993-05,45.341,
1993-06,46.253,
1993-07,7.721,
1993-08,11.038,
1993-09,150.366,
1993-10,190.571,
1993-11,139.795,
1993-12,23.603,
1994-01,26.330,
1994-02,287.867,
1994-03,17.686,
1994-04,5.059,
1994-05,5.231,
1994-06,7.438,
1994-07,9.222,
1994-08,9.927,
1994-09,8.318,
1994-10,7.276,
1994-11,9.563,
1994-12,9.294,
1995-01,10.138,
1995-02,14.753,
1995-03,10.510,
1995-04,7.932,
1995-05,9.176,
1995-06,3.631,
1995-07,0.350,
1995-08,0.274,
1995-09,0.423,
1995-10,0.196,
1995-11,0.195,
1995-12,0.331,
1996-01,19.232,
1996-02,2.769,
1996-03,3.835,
1996-04,2.912,
1996-05,3.703,
1996-06,3.135,
1996-07,422.574,
1996-08,601.165,
1996-09,1472.940,
1996-10,541.201,
1996-11,1642.273,
1996-12,1843.768,
1997-01,6369.402,
1997-02,831.599,
1997-03,1376.045,
1997-04,5509.834,
1997-05,1017.912,
1997-06,1061.131,
1997-07,6585.571,
1997-08,646.603,
1997-09,810.084,
1997-10,5684.532,
1997-11,453.608,
1997-12,2010.163,
1998-01,6607.743,
1998-02,1445.282,
1998-03,1392.887,
1998-04,6822.600,
1998-05,920.336,
1998-06,855.843,
1998-07,5850.713,
1998-08,596.213,
1998-09,772.576,
1998-10,6310.876,
1998-11,1191.322,
1998-12,3467.601,
1999-01,4629.515,
1999-02,850.444,
1999-03,1259.382,
1999-04,5989.478,
1999-05,639.000,
1999-06,350.454,
1999-07,4900.000,
1999-08,304.981,
1999-09,335.339,
1999-10,5271.098,
1999-11,1052.604,
1999-12,1423.000,
2000-01,6533.371,
2000-02,716.071,
2000-03,274.031,
2000-04,5589.000,
2000-05,76.000,
2000-06,229.371,
2000-07,5282.509,
2000-08,914.000,
2000-09,201.000,
2000-10,6152.505,
2000-11,393.000,
2000-12,482.000,
2001-01,5566.000,
2001-02,2107.000,
2001-03,406.000,
2001-04,6308.714,
2001-05,559.238,
2001-06,91.000,
2001-07,5795.700,
2001-08,854.000,
2001-09,970.000,
2001-10,8893.000,
2001-11,590.000,
2001-12,553.000,
2002-01,10802.000,
2002-02,356.000,
2002-03,376.000,
2002-04,10685.000,
2002-05,829.000,
2002-06,1734.000,
2002-07,6124.000,
2002-08,1353.000,
2002-09,988.000,
2002-10,7390.000,
2002-11,7821.000,
2002-12,6580.000,
2003-01,7634.942,
2003-02,5719.899,
2003-03,7488.758,
2003-04,5985.196,
2003-05,7464.385,
2003-06,6502.217,
2003-07,6775.172,
2003-08,7109.622,
2003-09,7172.812,
2003-10,7082.899,
2003-11,7063.477,
2003-12,6279.963,
2004-01,8859.374,
2004-02,8909.422,
2004-03,7436.131,
2004-04,7719.165,
2004-05,7617.407,
2004-06,6739.225,
2004-07,6721.231,
2004-08,7222.133,
2004-09,7700.774,
2004-10,7080.257,
2004-11,7697.138,
2004-12,10333.667,
2005-01,6009.489,
2005-02,6839.718,
2005-03,7892.569,
2005-04,7828.856,
2005-05,9492.427,
2005-06,7538.743,
2005-07,8288.765,
2005-08,7927.621,
2005-09,7004.248,
2005-10,8406.871,
2005-11,8023.575,
2005-12,9476.492,
2006-01,9789.172,
2006-02,9013.642,
2006-03,7912.670,
2006-04,7722.134,
2006-05,9154.324,
2006-06,9745.527,
2006-07,8286.364,
2006-08,8405.261,
2006-09,8889.235,
2006-10,8776.574,
2006-11,8230.639,
2006-12,8302.166,
2007-01,8702.104,
2007-02,8070.505,
2007-03,8788.216,
2007-04,8224.352,
2007-05,7985.572,
2007-06,9113.730,
2007-07,7944.782,
2007-08,8309.946,
2007-09,8570.833,
2007-10,7739.230,
2007-11,7749.519,
2007-12,8633.685,
2008-01,10359.757,
2008-02,9131.620,
2008-03,8498.892,
2008-04,7202.486,
2008-05,7486.743,
2008-06,7715.400,
2008-07,7990.443,
2008-08,9987.404,
2008-09,8544.692,
2008-10,8693.785,
2008-11,7616.522,
2008-12,9080.536,
2009-01,10303.880,
2009-02,10566.539,
2009-03,14325.115,
2009-04,10690.806,
2009-05,9612.908,
2009-06,9282.382,
2009-07,15909.213,
2009-08,15841.210,
2009-09,17302.932,
2009-10,14953.888,
2009-11,14396.586,
2009-12,15567.736,
2010-01,15217.502,
2010-02,15258.526,
2010-03,13486.700,
2010-04,18880.373,
2010-05,21647.772,
2010-06,19758.964,
2010-07,12118.301,
2010-08,11438.613,
2010-09,11641.289,
2010-10,10341.706,
2010-11,10629.679,
2010-12,42349.224,
2011-01,13649.180,
2011-02,13356.808,
2011-03,18482.473,
2011-04,19417.686,
2011-05,17893.150,
