"",BBK01.OEBB17S,BBK01.OEBB17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:45,
2002-01,2.132,
2002-04,2.148,
2002-07,2.174,
2002-10,2.183,
2003-01,2.189,
2003-04,2.213,
2003-07,2.255,
2003-10,2.279,
2004-01,2.261,
2004-04,2.267,
2004-07,2.289,
2004-10,2.299,
2005-01,3.282,
2005-04,3.371,
2005-07,3.414,
2005-10,3.400,
2006-01,3.453,
2006-04,3.520,
2006-07,3.613,
2006-10,3.703,
2007-01,3.752,
2007-04,3.934,
2007-07,3.927,
2007-10,3.964,
2008-01,3.938,
2008-04,3.927,
2008-07,4.021,
2008-10,4.044,
2009-01,4.050,
2009-04,4.577,
2009-07,4.659,
2009-10,4.671,
2010-01,4.691,
2010-04,4.724,
2010-07,4.752,
2010-10,4.656,
2011-01,4.793,
2011-04,4.798,
2011-07,4.814,
2011-10,4.850,
2012-01,4.873,
2012-04,4.898,
2012-07,4.931,
2012-10,4.944,
2013-01,4.987,
2013-04,5.023,
2013-07,5.075,
2013-10,5.120,
2014-01,5.146,
2014-04,5.227,
2014-07,5.284,
