"",BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:37,
1991-01,-0.367,
1991-04,0.710,
1991-07,-0.596,
1991-10,-0.622,
1992-01,13.510,
1992-04,-0.801,
1992-07,-5.068,
1992-10,-0.841,
1993-01,-0.632,
1993-04,-0.146,
1993-07,-6.909,
1993-10,-3.687,
1994-01,-0.646,
1994-04,-2.452,
1994-07,-24.689,
1994-10,-0.104,
1995-01,-3.289,
1995-04,0.815,
1995-07,-2.092,
1995-10,-3.542,
1996-01,-0.283,
1996-04,-1.166,
1996-07,-2.833,
1996-10,-0.046,
1997-01,-1.652,
1997-04,-3.145,
1997-07,-1.437,
1997-10,133.494,
1998-01,-1.555,
1998-04,-0.951,
1998-07,-1.928,
1998-10,226.804,
1999-01,-0.399,
1999-04,53.317,
1999-07,-0.232,
1999-10,-7.463,
2000-01,-422.605,
2000-04,-0.870,
2000-07,-1.091,
2000-10,16.615,
2001-01,45.997,
2001-04,-3.566,
2001-07,1.464,
2001-10,-0.729,
2002-01,-5.922,
2002-04,0.798,
2002-07,-1.695,
2002-10,39.497,
2003-01,-4.282,
2003-04,-8.092,
2003-07,-0.236,
2003-10,-0.830,
2004-01,-1.080,
2004-04,1.718,
2004-07,-0.623,
2004-10,-68.295,
2005-01,-3.197,
2005-04,-1.424,
2005-07,-0.973,
2005-10,-1.391,
2006-01,-24.682,
2006-04,-0.360,
2006-07,-0.023,
2006-10,-0.573,
2007-01,-0.177,
2007-04,3.883,
2007-07,-0.697,
2007-10,3.503,
2008-01,249.085,
2008-04,-2.409,
2008-07,-6.642,
2008-10,4.673,
2009-01,-244.240,
2009-04,6.119,
2009-07,1.879,
2009-10,57.254,
2010-01,0.262,
2010-04,39.959,
2010-07,231.885,
2010-10,-350.732,
2011-01,-9.204,
2011-04,-9.823,
2011-07,-35.901,
2011-10,30.355,
2012-01,-34.460,
2012-04,-6.437,
2012-07,171.400,
2012-10,-90.012,
2013-01,8.628,
2013-04,-129.130,
2013-07,-133.286,
2013-10,8.767,
2014-01,4.473,Provisional value
2014-04,-50.200,Provisional value
2014-07,56.916,Provisional value
2014-10,-66.584,Provisional value
