"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.FR.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.FR.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:20,
2009-09,24923,
2009-10,24219,
2009-11,24543,
2009-12,26399,
2010-01,25049,
2010-02,24516,
2010-03,26606,
2010-04,25676,
2010-05,23896,
2010-06,23317,
2010-07,24606,
2010-08,23579,
2010-09,25025,
2010-10,26255,
2010-11,24792,
2010-12,26325,
2011-01,27518,
2011-02,27824,
2011-03,26861,
2011-04,27145,
2011-05,26225,
2011-06,26247,
2011-07,24481,
2011-08,21465,
2011-09,19423,
2011-10,21211,
2011-11,19963,
2011-12,20296,
2012-01,20902,
2012-02,21475,
2012-03,20826,
2012-04,19758,
2012-05,18834,
2012-06,19574,
2012-07,20635,
2012-08,20688,
2012-09,20624,
2012-10,21055,
2012-11,21732,
2012-12,22371,
2013-01,23084,
2013-02,22840,
2013-03,23011,
2013-04,24076,
2013-05,24772,
2013-06,23036,
2013-07,25497,
2013-08,25504,
2013-09,26929,
2013-10,28194,
2013-11,28098,
2013-12,27375,
2014-01,26288,
2014-02,28124,
2014-03,27907,
2014-04,28724,
2014-05,29101,
2014-06,28832,
2014-07,27780,
2014-08,28086,
2014-09,28213,
2014-10,27256,
2014-11,28276,
