"",BBK01.OEAA24Q,BBK01.OEAA24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:19,
2002-01,0.213,
2002-04,0.209,
2002-07,0.210,
2002-10,0.209,
2003-01,0.228,
2003-04,0.226,
2003-07,0.218,
2003-10,0.214,
2004-01,0.217,
2004-04,0.206,
2004-07,0.198,
2004-10,0.183,
2005-01,0.060,
2005-04,0.057,
2005-07,0.053,
2005-10,0.046,
2006-01,0.053,
2006-04,0.074,
2006-07,0.057,
2006-10,0.042,
2007-01,0.062,
2007-04,0.053,
2007-07,0.040,
2007-10,0.049,
2008-01,0.046,
2008-04,0.033,
2008-07,0.040,
2008-10,0.033,
2009-01,0.046,
2009-04,0.051,
2009-07,0.053,
2009-10,0.060,
2010-01,0.067,
2010-04,0.064,
2010-07,0.050,
2010-10,0.051,
2011-01,0.051,
2011-04,0.051,
2011-07,0.050,
2011-10,0.051,
2012-01,0.051,
2012-04,0.054,
2012-07,0.050,
2012-10,0.048,
2013-01,0.049,
2013-04,0.046,
2013-07,0.045,
2013-10,0.046,
2014-01,0.045,
2014-04,0.045,
2014-07,0.043,
