"",BBEX3.M.LYD.EUR.CA.AC.A01,BBEX3.M.LYD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Libya  / EUR 1 = LYD ... (middle),
unit,LYD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:59,
1999-01,0.5193265,
1999-02,0.5115420,
1999-03,0.5011140,
1999-04,0.4990590,
1999-05,0.4940115,
1999-06,0.4913235,
1999-07,0.4957495,
1999-08,0.4869015,
1999-09,0.4852985,
1999-10,0.4799830,
1999-11,0.4655010,
1999-12,0.4649585,
2000-01,0.4593065,
2000-02,0.4765395,
2000-03,0.4715400,
2000-04,0.4559010,
2000-05,0.4676985,
2000-06,0.4689875,
2000-07,0.4664985,
2000-08,0.4529215,
2000-09,0.4754320,
2000-10,0.4645815,
2000-11,0.4748955,
2000-12,0.5027780,
2001-01,0.5014100,
2001-02,0.5001205,
2001-03,0.4932145,
2001-04,0.4991740,
2001-05,0.4797465,
2001-06,0.5561905,
2001-07,0.5685415,
2001-08,0.5801685,
2001-09,0.5787430,
2001-10,0.5790420,
2001-11,0.5713765,
2001-12,0.5734380,
2002-01,1.1421265,comment
2002-02,1.1459080,
2002-03,1.1503100,
2002-04,1.1699070,
2002-05,1.1913295,
2002-06,1.2325685,
2002-07,1.2198110,
2002-08,1.2177235,
2002-09,1.2196205,
2002-10,1.2362300,
2002-11,1.2318760,
2002-12,1.2648775,
2003-01,1.2951410,
2003-02,1.2912445,
2003-03,1.2942540,
2003-04,1.3093025,
2003-05,1.3687340,
2003-06,1.5732825,comment
2003-07,1.5771090,
2003-08,1.5331280,
2003-09,1.5604885,
2003-10,1.5701245,
2003-11,1.5877075,
2003-12,1.6308815,
2004-01,1.6259010,
2004-02,1.6213035,
2004-03,1.5964565,
2004-04,1.5853895,
2004-05,1.6110990,
2004-06,1.6023350,
2004-07,1.5966160,
2004-08,1.5967480,
2004-09,1.6215900,
2004-10,1.6422060,
2004-11,1.6712935,
2004-12,1.6976335,
2005-01,1.6562390,
2005-02,1.6686820,
2005-03,1.6577725,
2005-04,1.6511440,
2005-05,1.6330600,
2005-06,1.5963650,
2005-07,1.6030400,
2005-08,1.6121595,
2005-09,1.6053695,
2005-10,1.6152055,
2005-11,1.5975660,
2005-12,1.5949815,
2006-01,1.6172875,
2006-02,1.5976585,
2006-03,1.6143690,
2006-04,1.6426940,
2006-05,1.6610650,
2006-06,1.6509885,
2006-07,1.6554160,
2006-08,1.6663940,
2006-09,1.6558980,
2006-10,1.6580285,
2006-11,1.6882310,
2006-12,1.6909195,
2007-01,1.6805085,
2007-02,1.6982610,
2007-03,1.7045065,
2007-04,1.7279340,
2007-05,1.7151430,
2007-06,1.7156755,
2007-07,1.7242640,
2007-08,1.7186820,
2007-09,1.7601515,
2007-10,1.7745525,
2007-11,1.7921955,
2007-12,1.7986190,
2008-01,1.7980655,
2008-02,1.8160500,
2008-03,1.8544500,
2008-04,1.8510500,
2008-05,1.8572500,
2008-06,1.8670500,
2008-07,1.8590500,
2008-08,1.8137500,
2008-09,1.8010000,
2008-10,1.6561500,
2008-11,1.6729000,
2008-12,1.7601000,
2009-01,1.6955500,
2009-02,1.6750500,
2009-03,1.7109000,
2009-04,1.7109000,
2009-05,1.7598000,
2009-06,1.7522500,
2009-07,1.7546000,
2009-08,1.7748500,
2009-09,1.7821500,
2009-10,1.8002000,
2009-11,1.8098500,
2009-12,1.7738500,
2010-01,1.7364500,
2010-02,1.7110000,
2010-03,1.7145000,
2010-04,1.6989500,
2010-05,1.6231500,
2010-06,1.5979000,
2010-07,1.6573500,
2010-08,1.6190500,
2010-09,1.6899500,
2010-10,1.7086500,
2010-11,1.6489500,
2010-12,1.6609000,
2011-01,1.6891000,
2011-02,1.6946500,
2011-03,1.7270500,
2011-04,1.7689500,
2011-05,1.7271000,
2011-06,1.7414500,
2011-07,1.7381500,
2011-08,1.7277000,comment
2011-09,1.6780000,
2011-10,1.7097500,
2011-11,1.6926500,
2011-12,1.6282500,
2012-01,1.6428000,
2012-02,1.6715000,
2012-03,1.6648000,
2012-04,1.6498000,
2012-05,1.5861000,
2012-06,1.5965000,
2012-07,1.5722500,
2012-08,1.5953500,
2012-09,1.6146500,
2012-10,1.6276500,
2012-11,1.6318500,
2012-12,1.6573500,
2013-01,1.6993500,
2013-02,1.6762000,
2013-03,1.6502000,
2013-04,1.6773000,
2013-05,1.6743000,
2013-06,1.6748000,
2013-07,1.6933500,
2013-08,1.6933500,
2013-09,1.7002500,
2013-10,1.7184000,
2013-11,1.7110000,
2013-12,1.7290000,
2014-01,1.7137500,
2014-02,1.7151000,
2014-03,1.7213000,
2014-04,1.7223000,
2014-05,1.7086000,
2014-06,1.7066000,
2014-07,1.6912000,
2014-08,1.6898000,
2014-09,1.6479500,
2014-10,1.6472000,
2014-11,1.6470500,
2014-12,1.6220500,
2015-01,1.5476000,
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of Libya, Tripolis.",
