"",BBK01.DU7504,BBK01.DU7504_FLAGS
"","Pay rates, overall economy, on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:08,
1991-01,52.6,
1991-02,52.9,
1991-03,53.5,
1991-04,55.1,
1991-05,55.4,
1991-06,55.4,
1991-07,73.7,
1991-08,56.3,
1991-09,56.4,
1991-10,56.6,
1991-11,94.8,
1991-12,56.7,
1992-01,58.1,
1992-02,58.1,
1992-03,58.2,
1992-04,60.6,
1992-05,61.7,
1992-06,61.6,
1992-07,82.7,
1992-08,61.9,
1992-09,61.9,
1992-10,62.1,
1992-11,105.4,
1992-12,62.5,
1993-01,63.0,
1993-02,63.2,
1993-03,63.3,
1993-04,64.0,
1993-05,64.6,
1993-06,65.1,
1993-07,87.7,
1993-08,65.5,
1993-09,65.5,
1993-10,65.6,
1993-11,112.3,
1993-12,65.7,
1994-01,65.6,
1994-02,65.6,
1994-03,65.6,
1994-04,65.9,
1994-05,66.1,
1994-06,66.4,
1994-07,88.8,
1994-08,67.0,
1994-09,67.1,
1994-10,67.3,
1994-11,114.0,
1994-12,67.4,
1995-01,68.1,
1995-02,68.3,
1995-03,68.6,
1995-04,69.8,
1995-05,69.8,
1995-06,69.8,
1995-07,93.4,
1995-08,70.1,
1995-09,70.1,
1995-10,70.3,
1995-11,119.7,
1995-12,70.7,
1996-01,70.7,
1996-02,70.7,
1996-03,70.8,
1996-04,71.0,
1996-05,71.4,
1996-06,71.5,
1996-07,95.9,
1996-08,71.7,
1996-09,71.7,
1996-10,71.7,
1996-11,121.6,
1996-12,71.8,
1997-01,72.1,
1997-02,72.1,
1997-03,72.2,
1997-04,72.3,
1997-05,72.4,
1997-06,72.4,
1997-07,97.1,
1997-08,72.7,
1997-09,72.7,
1997-10,72.8,
1997-11,122.5,
1997-12,72.9,
1998-01,73.3,
1998-02,73.3,
1998-03,73.3,
1998-04,73.7,
1998-05,73.9,
1998-06,73.9,
1998-07,99.0,
1998-08,74.1,
1998-09,74.2,
1998-10,74.2,
1998-11,124.4,
1998-12,74.3,
1999-01,75.3,
1999-02,75.4,
1999-03,75.5,
1999-04,75.9,
1999-05,76.3,
1999-06,76.2,
1999-07,101.8,
1999-08,76.4,
1999-09,76.4,
1999-10,76.5,
1999-11,126.9,
1999-12,76.5,
2000-01,76.6,
2000-02,76.6,
2000-03,77.2,
2000-04,77.8,
2000-05,78.0,
2000-06,78.0,
2000-07,103.6,
2000-08,78.1,
2000-09,78.2,
2000-10,78.3,
2000-11,129.2,
2000-12,78.4,
2001-01,78.6,
2001-02,78.6,
2001-03,78.6,
2001-04,79.0,
2001-05,79.6,
2001-06,79.4,
2001-07,105.4,
2001-08,79.6,
2001-09,79.9,
2001-10,80.0,
2001-11,131.6,
2001-12,80.0,
2002-01,80.3,
2002-02,80.4,
2002-03,80.5,
2002-04,80.7,
2002-05,81.8,
2002-06,81.5,
2002-07,108.4,
2002-08,81.6,
2002-09,81.7,
2002-10,81.8,
2002-11,134.9,
2002-12,82.4,
2003-01,82.3,
2003-02,82.3,
2003-03,83.3,
2003-04,83.2,
2003-05,83.1,
2003-06,83.3,
2003-07,110.0,
2003-08,83.4,
2003-09,83.6,
2003-10,83.3,
2003-11,135.1,
2003-12,83.5,
2004-01,83.4,
2004-02,83.5,
2004-03,84.0,
2004-04,84.1,
2004-05,84.2,
2004-06,84.0,
2004-07,109.9,
2004-08,84.3,
2004-09,84.4,
2004-10,85.1,
2004-11,133.6,
2004-12,84.6,
2005-01,84.5,
2005-02,84.5,
2005-03,85.4,
2005-04,85.5,
2005-05,84.9,
2005-06,84.9,
2005-07,110.7,
2005-08,85.2,
2005-09,85.4,
2005-10,86.1,
2005-11,133.9,
2005-12,85.5,
2006-01,85.3,
2006-02,86.0,
2006-03,85.8,
2006-04,87.5,
2006-05,86.1,
2006-06,85.8,
2006-07,110.7,
2006-08,85.9,
2006-09,85.9,
2006-10,86.2,
2006-11,135.7,
2006-12,88.5,
2007-01,86.6,
2007-02,86.1,
2007-03,86.1,
2007-04,88.3,
2007-05,89.0,
2007-06,87.2,
2007-07,111.9,
2007-08,87.5,
