"",BBFB1.Q.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:02,
1991-01,12134.838,
1991-04,14806.272,
1991-07,13557.608,
1991-10,13875.595,
1992-01,13234.172,
1992-04,14450.387,
1992-07,14289.384,
1992-10,13916.300,
1993-01,15186.825,
1993-04,15722.360,
1993-07,15086.174,
1993-10,14961.287,
1994-01,15940.038,
1994-04,16428.128,
1994-07,16317.608,
1994-10,17126.957,
1995-01,17208.488,
1995-04,17618.695,
1995-07,17618.590,
1995-10,18262.174,
1996-01,15913.166,
1996-04,17833.287,
1996-07,20049.173,
1996-10,18414.791,
1997-01,19360.521,
1997-04,22084.351,
1997-07,20471.124,
1997-10,22297.510,
1998-01,20447.150,
1998-04,25231.702,
1998-07,23543.117,
1998-10,24442.199,
1999-01,24150.150,
1999-04,27717.636,
1999-07,26491.024,
1999-10,30481.299,
2000-01,28402.123,
2000-04,34279.508,
2000-07,34484.647,
2000-10,36152.506,
2001-01,31044.911,
2001-04,33297.649,
2001-07,29395.280,
2001-10,29106.784,
2002-01,31709.557,
2002-04,35603.262,
2002-07,33149.351,
2002-10,32723.388,
2003-01,30835.866,
2003-04,36053.651,
2003-07,31843.631,
2003-10,31607.189,
2004-01,30073.013,
2004-04,34290.910,
2004-07,29853.504,
2004-10,30759.096,
2005-01,33438.201,
2005-04,40085.045,
2005-07,35722.206,
2005-10,36349.973,
2006-01,36897.109,
2006-04,46828.237,
2006-07,39810.431,
2006-10,42062.440,
2007-01,48133.166,
2007-04,63418.348,
2007-07,48493.918,
2007-10,45905.243,
2008-01,43536.159,
2008-04,54484.182,
2008-07,36641.186,
2008-10,34011.629,
2009-01,30455.889,
2009-04,40793.930,
2009-07,27397.279,
2009-10,28253.918,
2010-01,31684.480,
2010-04,45975.511,
2010-07,34823.961,
2010-10,35536.243,
2011-01,33971.308,
2011-04,48999.797,
2011-07,33385.987,
2011-10,33225.492,
2012-01,32882.775,
2012-04,45066.317,
2012-07,31933.454,
2012-10,31388.539,
2013-01,31563.483,
2013-04,41892.873,
2013-07,31876.416,
2013-10,30213.947,
2014-01,30084.351,Provisional value
2014-04,44971.360,Provisional value
2014-07,30260.699,Provisional value
