"",BBK01.OEYB16V,BBK01.OEYB16V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:06,
2002-01,0.934,
2002-04,0.907,
2002-07,0.904,
2002-10,0.894,
2003-01,0.895,
2003-04,0.870,
2003-07,0.868,
2003-10,0.876,
2004-01,0.801,
2004-04,0.792,
2004-07,0.789,
2004-10,0.772,
2005-01,0.749,
2005-04,0.743,
2005-07,1.145,
2005-10,1.137,
2006-01,1.102,
2006-04,1.095,
2006-07,1.082,
2006-10,1.053,
2007-01,1.004,
2007-04,0.973,
2007-07,0.946,
2007-10,0.908,
2008-01,0.874,
2008-04,0.881,
2008-07,0.869,
2008-10,0.855,
2009-01,0.770,
2009-04,0.746,
2009-07,0.736,
2009-10,0.768,
2010-01,0.746,
2010-04,0.742,
2010-07,0.732,
2010-10,0.666,
2011-01,0.644,
2011-04,0.640,
2011-07,0.706,
2011-10,0.698,
2012-01,0.693,
2012-04,0.702,
2012-07,0.693,
2012-10,0.670,
2013-01,0.661,
2013-04,0.656,
2013-07,0.659,
2013-10,0.632,
2014-01,0.668,
2014-04,0.659,
2014-07,0.657,
