"",BBK01.OEXO02I,BBK01.OEXO02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:06,
2002-01,0.617,
2002-04,0.603,
2002-07,0.573,
2002-10,0.506,
2003-01,0.564,
2003-04,0.462,
2003-07,0.446,
2003-10,0.389,
2004-01,0.504,
2004-04,0.375,
2004-07,0.355,
2004-10,0.362,
2005-01,0.422,
2005-04,0.352,
2005-07,0.351,
2005-10,0.423,
2006-01,0.547,
2006-04,0.486,
2006-07,0.482,
2006-10,0.623,
2007-01,1.194,
2007-04,0.756,
2007-07,0.861,
2007-10,0.914,
2008-01,0.991,
2008-04,0.908,
2008-07,0.970,
2008-10,1.679,
2009-01,0.871,
2009-04,0.730,
2009-07,0.888,
2009-10,0.863,
2010-01,0.618,
2010-04,0.454,
2010-07,1.187,
2010-10,0.803,
2011-01,0.960,
2011-04,0.592,
2011-07,0.587,
2011-10,0.594,
2012-01,0.588,
2012-04,0.477,
2012-07,1.581,
2012-10,0.433,
2013-01,0.411,
2013-04,0.362,
2013-07,0.348,
2013-10,0.344,
2014-01,0.386,
2014-04,0.391,
2014-07,0.547,
