"",BBK01.OEXB12G,BBK01.OEXB12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:57,
2002-01,7.100,
2002-04,7.714,
2002-07,7.864,
2002-10,7.887,
2003-01,7.814,
2003-04,7.809,
2003-07,7.670,
2003-10,7.625,
2004-01,7.650,
2004-04,7.771,
2004-07,7.475,
2004-10,6.789,
2005-01,2.345,
2005-04,2.356,
2005-07,1.020,
2005-10,1.073,
2006-01,1.096,
2006-04,1.119,
2006-07,1.136,
2006-10,1.164,
2007-01,1.163,
2007-04,1.182,
2007-07,1.209,
2007-10,1.227,
2008-01,1.255,
2008-04,1.297,
2008-07,1.298,
2008-10,1.345,
2009-01,1.363,
2009-04,3.671,
2009-07,3.320,
2009-10,3.015,
2010-01,2.760,
2010-04,2.528,
2010-07,2.350,
2010-10,2.207,
2011-01,2.051,
2011-04,1.959,
2011-07,2.091,
2011-10,2.080,
2012-01,2.128,
2012-04,2.165,
2012-07,2.187,
2012-10,2.133,
2013-01,2.130,
2013-04,2.091,
2013-07,1.897,
2013-10,1.869,
2014-01,1.898,
2014-04,1.950,
2014-07,1.991,
