"",BBK01.CEB0X0,BBK01.CEB0X0_FLAGS
"",Liabilities debtor: Other financial intermediaries                  creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:31,
1991-01,155.3,
1991-04,166.4,
1991-07,170.9,
1991-10,171.9,
1992-01,183.6,
1992-04,189.8,
1992-07,187.2,
1992-10,190.7,
1993-01,205.5,
1993-04,216.8,
1993-07,228.5,
1993-10,249.7,
1994-01,266.0,
1994-04,270.6,
1994-07,275.7,
1994-10,280.4,
1995-01,277.7,
1995-04,290.4,
1995-07,302.4,
1995-10,318.5,
1996-01,341.4,
1996-04,357.6,
1996-07,371.1,
1996-10,396.4,
1997-01,440.3,
1997-04,482.3,
1997-07,505.1,
1997-10,530.4,
1998-01,594.8,
1998-04,642.7,
1998-07,612.5,
1998-10,661.2,
1999-01,748.2,
1999-04,805.5,
1999-07,785.4,
1999-10,905.9,
2000-01,1011.1,
2000-04,1029.4,
2000-07,1054.9,
2000-10,1081.0,
2001-01,1076.6,
2001-04,1092.5,
2001-07,1037.2,
2001-10,1092.2,
2002-01,1103.2,
2002-04,1075.7,
2002-07,1039.0,
2002-10,1060.7,
2003-01,1075.6,
2003-04,1134.2,
2003-07,1151.8,
2003-10,1145.7,
2004-01,1155.2,
2004-04,1148.9,
2004-07,1147.1,
2004-10,1146.5,
2005-01,1174.5,
2005-04,1221.6,
2005-07,1286.5,
2005-10,1295.0,
2006-01,1363.5,
2006-04,1364.2,
2006-07,1422.9,
2006-10,1424.2,
2007-01,1470.5,
2007-04,1518.1,
2007-07,1528.5,
2007-10,1506.5,
2008-01,1493.6,
2008-04,1512.6,
2008-07,1517.8,
2008-10,1534.0,
2009-01,1566.0,
2009-04,1632.0,
2009-07,1695.5,
2009-10,1762.6,
2010-01,1797.4,
2010-04,1857.2,
2010-07,1892.5,
2010-10,1926.0,
2011-01,1967.4,
2011-04,2022.8,
2011-07,2053.9,
2011-10,2033.3,
2012-01,2120.4,
2012-04,2143.4,
2012-07,2180.1,
2012-10,2199.4,
2013-01,2276.6,
2013-04,2320.6,
2013-07,2119.3,
2013-10,2114.5,
2014-01,2183.4,
