"",BBK01.OEAH85J,BBK01.OEAH85J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:24,
2002-01,2.242,
2002-04,2.112,
2002-07,2.229,
2002-10,2.307,
2003-01,2.234,
2003-04,2.385,
2003-07,2.560,
2003-10,2.367,
2004-01,2.548,
2004-04,2.551,
2004-07,2.481,
2004-10,2.393,
2005-01,2.257,
2005-04,2.440,
2005-07,2.577,
2005-10,2.544,
2006-01,2.365,
2006-04,2.281,
2006-07,2.324,
2006-10,0.887,
2007-01,0.895,
2007-04,0.983,
2007-07,1.092,
2007-10,0.954,
2008-01,0.875,
2008-04,0.830,
2008-07,0.964,
2008-10,0.928,
2009-01,0.896,
2009-04,0.870,
2009-07,0.843,
2009-10,0.865,
2010-01,0.871,
2010-04,1.178,
2010-07,1.068,
2010-10,1.240,
2011-01,1.178,
2011-04,1.161,
2011-07,1.196,
2011-10,1.194,
2012-01,1.080,
2012-04,1.059,
2012-07,0.938,
2012-10,0.641,
2013-01,0.599,
2013-04,0.553,
2013-07,0.522,
2013-10,0.530,
2014-01,0.484,
2014-04,0.484,
2014-07,0.480,
