"",BBEX3.M.SBD.USD.CM.AB.A01,BBEX3.M.SBD.USD.CM.AB.A01_FLAGS
"",Exchange rates for the US dollar in the Solomon Islands / SBD 1 = USD ... (selling),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:37,
1990-01,0.4137,
1990-02,0.4072,
1990-03,0.3980,
1990-04,0.3961,
1990-05,0.3953,
1990-06,0.3946,
1990-07,0.3932,
1990-08,0.3916,
1990-09,0.3903,
1990-10,0.3884,
1990-11,0.3848,
1990-12,0.3820,
1991-01,0.3854,
1991-02,0.3799,
1991-03,0.3715,
1991-04,0.3662,
1991-05,0.3642,
1991-06,0.3653,
1991-07,0.3635,
1991-08,0.3625,
1991-09,0.3628,
1991-10,0.3608,
1991-11,0.3584,
1991-12,0.3567,
1992-01,0.3531,
1992-02,0.3499,
1992-03,0.3470,
1992-04,0.3463,
1992-05,0.3438,
1992-06,0.3425,
1992-07,0.3400,
1992-08,0.3390,
1992-09,0.3378,
1992-10,0.3341,
1992-11,0.3268,
1992-12,0.3215,
1993-01,0.3194,
1993-02,0.3163,
1993-03,0.3147,
1993-04,0.3139,
1993-05,0.3146,
1993-06,0.3133,
1993-07,0.3129,
1993-08,0.3118,
1993-09,0.3106,
1993-10,0.3081,
1993-11,0.3069,
1993-12,0.3070,
1994-01,0.3071,
1994-02,0.3066,
1994-03,0.3055,
1994-04,0.3047,
1994-05,0.3039,
1994-06,0.3029,
1994-07,0.3021,
1994-08,0.3014,
1994-09,0.3007,
1994-10,0.2994,
1994-11,0.2996,
1994-12,0.2995,
1995-01,0.2973,
1995-02,0.2972,
1995-03,0.2962,
1995-04,0.2961,
1995-05,0.2947,
1995-06,0.2932,
1995-07,0.2921,
1995-08,0.2901,
1995-09,0.2894,
1995-10,0.2883,
1995-11,0.2872,
1995-12,0.2865,
1996-01,0.2853,
1996-02,0.2850,
1996-03,0.2841,
1996-04,0.2835,
1996-05,0.2822,
1996-06,0.2812,
1996-07,0.2802,
1996-08,0.2792,
1996-09,0.2783,
1996-10,0.2774,
1996-11,0.2765,
1996-12,0.2756,
1997-01,0.2743,
1997-02,0.2749,
1997-03,0.2736,
1997-04,0.2724,
1997-05,0.2720,
1997-06,0.2712,
1997-07,0.2698,
1997-08,0.2688,
1997-09,0.2675,
1997-10,0.2661,
1997-11,0.2647,
1997-12,0.2097,comment
1998-01,0.2087,
1998-02,0.2083,
1998-03,0.2081,
1998-04,0.2084,
1998-05,0.2078,
1998-06,0.2075,
1998-07,0.2071,
1998-08,0.2070,
1998-09,0.2018,
1998-10,0.2054,
1998-11,0.2070,
1998-12,0.2049,
1999-01,0.2035,
1999-02,0.2078,
1999-03,0.2077,
1999-04,0.2039,
1999-05,0.2063,
1999-06,0.2056,
1999-07,0.2021,
1999-08,0.2015,
1999-09,0.1966,
1999-10,0.1968,
1999-11,0.1966,
1999-12,0.1961,
2000-01,0.1961,
2000-02,0.1961,
2000-03,0.1958,
2000-04,0.1957,
2000-05,0.1955,
2000-06,0.1954,
2000-07,0.1954,
2000-08,0.1954,
2000-09,0.1954,
2000-10,0.1954,
2000-11,0.1952,
2000-12,0.1952,
2001-01,0.1949,
2001-02,0.1946,
2001-03,0.1921,
2001-04,0.1906,
2001-05,0.1895,
2001-06,0.1883,
2001-07,0.1881,
2001-08,0.1879,
2001-09,0.1856,
2001-10,0.1834,
2001-11,0.1817,
2001-12,0.1788,
2002-01,0.1701,
2002-02,0.1646,
2002-03,0.1294,comment
2002-04,0.1569,
2002-05,0.1526,
2002-06,0.1383,
2002-07,0.1367,
2002-08,0.1354,
2002-09,0.1341,
2002-10,0.1332,
2002-11,0.1332,
2002-12,0.1332,
2003-01,0.1331,
2003-02,0.1328,
2003-03,0.1321,
2003-04,0.1321,
2003-05,0.1322,
2003-06,0.1321,
2003-07,0.1320,
2003-08,0.1319,
2003-09,0.1322,
2003-10,0.1323,
2003-11,0.1322,
2003-12,0.1326,
2004-01,0.1324,
2004-02,0.1327,
2004-03,0.1328,
2004-04,0.1328,
2004-05,0.1331,
2004-06,0.1331,
2004-07,0.1330,
2004-08,0.1313,
2004-09,0.1311,
2004-10,0.1312,
2004-11,0.1312,
2004-12,0.1310,
2005-01,0.1310,
2005-02,0.1310,
2005-03,0.1309,
2005-04,0.1309,
2005-05,0.1308,
2005-06,0.1308,
2005-07,0.1307,
2005-08,0.1306,
2005-09,0.1300,
2005-10,0.1298,
2005-11,0.1298,
2005-12,0.1298,
2006-01,0.1295,
2006-02,0.1295,
2006-03,0.1294,
2006-04,0.1294,
2006-05,0.1293,
2006-06,0.1294,
2006-07,0.1294,
2006-08,0.1292,
2006-09,0.1291,
2006-10,0.1288,
2006-11,0.1288,
2006-12,0.1288,
2007-01,0.1287,
2007-02,0.1287,
2007-03,0.1287,
2007-04,0.1287,
2007-05,0.1286,
2007-06,0.1286,
2007-07,0.1285,
2007-08,0.1283,
2007-09,0.1282,
2007-10,0.1282,
2007-11,0.1283,
2007-12,0.1283,
2008-01,0.1283,
2008-02,0.1283,
2008-03,0.1283,
2008-04,0.1283,
2008-05,0.1283,
2008-06,0.1283,
2008-07,0.1281,
2008-08,0.1271,
2008-09,0.1262,
2008-10,0.1238,
2008-11,0.1232,
2008-12,0.1226,
2009-01,0.1226,
2009-02,0.1223,
2009-03,0.1220,
2009-04,0.1218,
2009-05,0.1218,
2009-06,0.1218,
2009-07,0.1218,
2009-08,0.1218,
2009-09,0.1218,
2009-10,0.1218,
2009-11,0.1218,
2009-12,0.1218,
2010-01,0.1218,
2010-02,0.1218,
2010-03,0.1218,
2010-04,0.1218,
2010-05,0.1218,
2010-06,0.1218,
2010-07,0.1218,
2010-08,0.1218,
2010-09,0.1218,
2010-10,0.1218,
2010-11,0.1218,
2010-12,0.1227,
2011-01,0.1227,
2011-02,0.1239,
2011-03,0.1244,
2011-04,0.1250,
2011-05,0.1263,
2011-06,0.1335,
2011-07,0.1335,
2011-08,0.1340,
2011-09,0.1343,
2011-10,0.1346,
2011-11,0.1347,
2011-12,0.1346,
2012-01,0.1347,
2012-02,0.1347,
2012-03,0.1347,
2012-04,0.1347,
2012-05,0.1347,
2012-06,0.1347,
2012-07,0.1347,
2012-08,0.1347,
2012-09,0.1347,
2012-10,0.1349,
2012-11,0.1346,
2012-12,0.1349,
2013-01,0.1349,
2013-02,0.1360,
2013-03,0.1354,
2013-04,0.1359,
2013-05,0.1361,
2013-06,0.1360,comment
"","Source: November 2011 - June 2013 Bank South Pacific, Honiara  August 2004 - October 2011 Westpac Banking Corporation, Honiara  1990 - July 2004 Central Bank of Solomon Islands, Honiara",
"","Comment on 1997-12: On 15 December 1997, the Solomon Islands dollar was devalued. We recorded the following exchange rates (buying/selling).  14 December 1997: SBD 1 = USD 0.2657 / 0.2639  15 December 1997: SBD 1 = USD 0.2121 / 0.2103  Calculated devaluation: 20.2% (middle rate).",
"","Comment on 2002-03: On 26 March 2002, the Solomon Islands dollar was devalued by just over 20%. However, this decision was reversed on 3 April and the exchange rate for the Solomon Islands dollar was returned to its previous level.",
"",Comment on 2013-06: Only middle rates have been available since July 2013; see BBEX2:M:SBD:USD:CA:AC:A01.,
