"",BBK01.OEAH04U,BBK01.OEAH04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:13,
2002-01,2.928,
2002-04,2.783,
2002-07,2.736,
2002-10,2.650,
2003-01,2.623,
2003-04,2.493,
2003-07,2.495,
2003-10,2.435,
2004-01,2.477,
2004-04,2.239,
2004-07,2.249,
2004-10,2.246,
2005-01,2.127,
2005-04,2.131,
2005-07,2.212,
2005-10,2.219,
2006-01,2.379,
2006-04,2.372,
2006-07,2.501,
2006-10,2.634,
2007-01,2.952,
2007-04,3.070,
2007-07,3.339,
2007-10,3.448,
2008-01,3.702,
2008-04,3.909,
2008-07,4.158,
2008-10,3.767,
2009-01,3.050,
2009-04,2.741,
2009-07,2.143,
2009-10,1.868,
2010-01,1.666,
2010-04,1.583,
2010-07,1.489,
2010-10,1.514,
2011-01,1.714,
2011-04,1.868,
2011-07,1.964,
2011-10,2.361,
2012-01,2.587,
2012-04,2.519,
2012-07,2.398,
2012-10,2.157,
2013-01,1.977,
2013-04,1.941,
2013-07,1.981,
2013-10,1.780,
2014-01,2.044,
2014-04,2.008,
2014-07,1.703,
