"",BBK01.OEXB16Q,BBK01.OEXB16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:41,
2002-01,1.124,
2002-04,1.122,
2002-07,1.107,
2002-10,1.100,
2003-01,1.098,
2003-04,1.101,
2003-07,1.084,
2003-10,1.076,
2004-01,1.037,
2004-04,1.048,
2004-07,1.040,
2004-10,0.478,
2005-01,0.474,
2005-04,0.478,
2005-07,0.476,
2005-10,0.475,
2006-01,0.470,
2006-04,0.482,
2006-07,0.489,
2006-10,0.487,
2007-01,0.482,
2007-04,0.483,
2007-07,0.477,
2007-10,0.467,
2008-01,0.464,
2008-04,0.458,
2008-07,0.434,
2008-10,0.439,
2009-01,0.438,
2009-04,0.436,
2009-07,0.441,
2009-10,0.426,
2010-01,0.425,
2010-04,0.426,
2010-07,0.424,
2010-10,0.430,
2011-01,0.431,
2011-04,0.434,
2011-07,0.441,
2011-10,0.441,
2012-01,0.447,
2012-04,0.452,
2012-07,0.443,
2012-10,0.451,
2013-01,0.465,
2013-04,0.470,
2013-07,0.479,
2013-10,0.484,
2014-01,0.483,
2014-04,0.458,
2014-07,0.461,
