"",BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:26,
1991-01,161.171,
1991-04,15.892,
1991-07,52.447,
1991-10,-300.094,
1992-01,43.462,
1992-04,4.242,
1992-07,61.694,
1992-10,-73.173,
1993-01,-32.120,
1993-04,-33.334,
1993-07,-6.623,
1993-10,-33.720,
1994-01,113.043,
1994-04,-139.772,
1994-07,-57.874,
1994-10,-1266.640,
1995-01,-112.549,
1995-04,-1104.778,
1995-07,-4.978,
1995-10,19.349,
1996-01,16.890,
1996-04,17.074,
1996-07,-21.220,
1996-10,42.600,
1997-01,56.538,
1997-04,69.721,
1997-07,17.254,
1997-10,101.191,
1998-01,173.263,
1998-04,133.162,
1998-07,185.319,
1998-10,303.064,
1999-01,77.576,
1999-04,139.554,
1999-07,273.809,
1999-10,71.343,
2000-01,-4.372,
2000-04,100.450,
2000-07,-4.805,
2000-10,142.165,
2001-01,69.322,
2001-04,186.281,
2001-07,162.193,
2001-10,100.177,
2002-01,161.431,
2002-04,-41.649,
2002-07,14.996,
2002-10,2.793,
2003-01,20.812,
2003-04,-58.587,
2003-07,-36.809,
2003-10,-301.250,
2004-01,19.947,
2004-04,507.330,
2004-07,-79.434,
2004-10,194.011,
2005-01,258.738,
2005-04,-844.010,
2005-07,372.454,
2005-10,81.534,
2006-01,-64.766,
2006-04,625.866,
2006-07,498.540,
2006-10,1079.551,
2007-01,266.818,
2007-04,260.302,
2007-07,683.882,
2007-10,177.972,
2008-01,761.908,
2008-04,1304.394,
2008-07,825.028,
2008-10,1223.800,
2009-01,-53.860,
2009-04,316.326,
2009-07,331.515,
2009-10,585.698,
2010-01,638.012,
2010-04,1042.218,
2010-07,6.273,
2010-10,-53.926,
2011-01,342.238,
2011-04,44.728,
2011-07,402.901,
2011-10,-249.773,
2012-01,135.486,
2012-04,-348.544,
2012-07,-521.736,
2012-10,-64.054,
2013-01,-84.003,
2013-04,-27.474,
2013-07,-255.551,
2013-10,-209.249,
2014-01,-350.966,Provisional value
2014-04,-257.220,Provisional value
2014-07,88.370,Provisional value
2014-10,-336.331,Provisional value
