"",BBK01.OEAC34V,BBK01.OEAC34V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:19,
2002-01,0.149,
2002-04,0.144,
2002-07,0.136,
2002-10,0.134,
2003-01,0.143,
2003-04,0.129,
2003-07,0.124,
2003-10,0.110,
2004-01,0.105,
2004-04,0.122,
2004-07,0.115,
2004-10,0.107,
2005-01,0.111,
2005-04,0.109,
2005-07,0.113,
2005-10,0.113,
2006-01,0.111,
2006-04,0.115,
2006-07,0.116,
2006-10,0.114,
2007-01,0.119,
2007-04,0.126,
2007-07,0.136,
2007-10,0.125,
2008-01,0.125,
2008-04,0.106,
2008-07,0.109,
2008-10,0.111,
2009-01,0.107,
2009-04,0.113,
2009-07,0.112,
2009-10,0.105,
2010-01,0.091,
2010-04,0.127,
2010-07,0.125,
2010-10,0.128,
2011-01,0.121,
2011-04,0.125,
2011-07,0.128,
2011-10,0.123,
2012-01,0.136,
2012-04,0.134,
2012-07,0.137,
2012-10,0.134,
2013-01,0.132,
2013-04,0.139,
2013-07,0.138,
2013-10,0.135,
2014-01,0.133,
2014-04,0.128,
2014-07,0.125,
