"",BBK01.OECI05K,BBK01.OECI05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:46,
2002-01,0.107,
2002-04,0.104,
2002-07,0.103,
2002-10,0.113,
2003-01,0.102,
2003-04,0.102,
2003-07,0.083,
2003-10,0.091,
2004-01,0.091,
2004-04,0.091,
2004-07,0.086,
2004-10,1.816,
2005-01,0.893,
2005-04,0.866,
2005-07,0.821,
2005-10,0.816,
2006-01,0.774,
2006-04,1.081,
2006-07,1.085,
2006-10,1.120,
2007-01,1.121,
2007-04,1.213,
2007-07,1.401,
2007-10,1.308,
2008-01,1.438,
2008-04,1.458,
2008-07,1.486,
2008-10,1.652,
2009-01,1.259,
2009-04,1.380,
2009-07,1.289,
2009-10,1.224,
2010-01,1.225,
2010-04,1.273,
2010-07,1.559,
2010-10,1.523,
2011-01,1.514,
2011-04,1.431,
2011-07,1.118,
2011-10,1.110,
2012-01,1.160,
2012-04,1.425,
2012-07,1.398,
2012-10,1.385,
2013-01,1.369,
2013-04,1.357,
2013-07,1.366,
2013-10,1.342,
2014-01,1.311,
2014-04,1.346,
2014-07,1.334,
