"",BBK01.OEYM03Q,BBK01.OEYM03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:46,
2002-01,0.647,
2002-04,0.640,
2002-07,0.480,
2002-10,0.589,
2003-01,0.467,
2003-04,0.467,
2003-07,0.447,
2003-10,0.473,
2004-01,0.437,
2004-04,0.444,
2004-07,0.447,
2004-10,1.041,
2005-01,0.608,
2005-04,0.693,
2005-07,0.600,
2005-10,0.666,
2006-01,0.808,
2006-04,1.351,
2006-07,1.285,
2006-10,1.776,
2007-01,1.715,
2007-04,2.653,
2007-07,2.751,
2007-10,3.092,
2008-01,3.048,
2008-04,3.087,
2008-07,3.685,
2008-10,3.658,
2009-01,3.801,
2009-04,3.025,
2009-07,3.011,
2009-10,3.156,
2010-01,3.085,
2010-04,3.083,
2010-07,3.560,
2010-10,3.159,
2011-01,2.324,
2011-04,2.444,
2011-07,3.536,
2011-10,4.481,
2012-01,3.898,
2012-04,4.567,
2012-07,4.565,
2012-10,5.138,
2013-01,5.574,
2013-04,7.165,
2013-07,6.913,
2013-10,5.976,
2014-01,7.375,
2014-04,7.053,
2014-07,6.571,
