"",BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:37,
1991-01,-794.374,
1991-04,-283.117,
1991-07,244.087,
1991-10,-56.706,
1992-01,-253.821,
1992-04,-439.762,
1992-07,-507.211,
1992-10,-277.475,
1993-01,-111.379,
1993-04,-589.326,
1993-07,-165.327,
1993-10,-278.549,
1994-01,6.235,
1994-04,-51.450,
1994-07,-99.892,
1994-10,-144.969,
1995-01,-60.274,
1995-04,-158.283,
1995-07,19.964,
1995-10,-105.956,
1996-01,-162.289,
1996-04,83.942,
1996-07,69.444,
1996-10,695.665,
1997-01,-117.276,
1997-04,-165.450,
1997-07,-67.659,
1997-10,101.611,
1998-01,-207.885,
1998-04,-85.052,
1998-07,225.053,
1998-10,147.898,
1999-01,164.566,
1999-04,-19.763,
1999-07,-55.101,
1999-10,-89.578,
2000-01,140.938,
2000-04,-314.734,
2000-07,-42.266,
2000-10,477.648,
2001-01,107.312,
2001-04,-216.516,
2001-07,-210.298,
2001-10,-93.725,
2002-01,-178.369,
2002-04,6.410,
2002-07,-149.158,
2002-10,44.812,
2003-01,612.912,
2003-04,-305.183,
2003-07,64.420,
2003-10,145.078,
2004-01,778.360,
2004-04,90.229,
2004-07,92.909,
2004-10,71.473,
2005-01,-14.671,
2005-04,477.537,
2005-07,-209.750,
2005-10,-2536.907,
2006-01,377.739,
2006-04,236.201,
2006-07,-52.850,
2006-10,1456.774,
2007-01,-30.464,
2007-04,-298.733,
2007-07,-30.044,
2007-10,1401.350,
2008-01,56.301,
2008-04,641.977,
2008-07,21.417,
2008-10,-22.639,
2009-01,-109.975,
2009-04,-386.859,
2009-07,-791.280,
2009-10,239.919,
2010-01,-525.189,
2010-04,-9.230,
2010-07,145.997,
2010-10,23.017,
2011-01,83.395,
2011-04,-146.360,
2011-07,0.881,
2011-10,138.092,
2012-01,-862.998,
2012-04,4.812,
2012-07,11.083,
2012-10,210.012,
2013-01,438.932,
2013-04,360.208,
2013-07,-1187.493,
2013-10,-714.375,
2014-01,-467.524,Provisional value
2014-04,603.349,Provisional value
2014-07,-1431.617,Provisional value
2014-10,-1107.227,Provisional value
