"",BBK01.CEF005,BBK01.CEF005_FLAGS
"",Total financial assets  debtor: Total                                                   creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:48,
1999-01,124.3,
1999-04,150.9,
1999-07,135.8,
1999-10,139.8,
2000-01,173.8,
2000-04,190.8,
2000-07,175.4,
2000-10,174.5,
2001-01,225.7,
2001-04,228.5,
2001-07,219.7,
2001-10,218.2,
2002-01,224.0,
2002-04,215.6,
2002-07,219.8,
2002-10,200.0,
2003-01,233.4,
2003-04,251.5,
2003-07,259.9,
2003-10,246.3,
2004-01,271.7,
2004-04,277.4,
2004-07,280.0,
2004-10,265.8,
2005-01,313.4,
2005-04,326.5,
2005-07,359.8,
2005-10,345.4,
2006-01,438.6,
2006-04,461.1,
2006-07,501.7,
2006-10,475.3,
2007-01,531.8,
2007-04,555.2,
2007-07,537.1,
2007-10,544.9,
2008-01,624.8,
2008-04,623.5,
2008-07,651.7,
2008-10,668.7,
2009-01,743.5,
2009-04,702.6,
2009-07,695.5,
2009-10,731.6,
2010-01,721.8,
2010-04,806.0,
2010-07,799.8,
2010-10,782.7,
2011-01,783.0,
2011-04,830.8,
2011-07,890.4,
2011-10,829.7,
2012-01,837.0,
2012-04,875.1,
2012-07,887.8,
2012-10,909.1,
2013-01,970.2,
2013-04,1019.9,
2013-07,764.8,
2013-10,746.1,
2014-01,792.3,
2014-04,804.4,
2014-07,805.2,
