"",BBK01.OEAH12U,BBK01.OEAH12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:15,
2002-01,8.637,
2002-04,8.353,
2002-07,8.291,
2002-10,8.611,
2003-01,8.748,
2003-04,8.753,
2003-07,8.904,
2003-10,9.253,
2004-01,9.335,
2004-04,9.329,
2004-07,9.388,
2004-10,9.621,
2005-01,10.393,
2005-04,10.366,
2005-07,10.359,
2005-10,10.388,
2006-01,10.355,
2006-04,10.227,
2006-07,10.009,
2006-10,10.015,
2007-01,9.847,
2007-04,9.660,
2007-07,9.427,
2007-10,9.519,
2008-01,9.479,
2008-04,9.264,
2008-07,9.071,
2008-10,9.098,
2009-01,9.270,
2009-04,9.391,
2009-07,9.769,
2009-10,10.128,
2010-01,10.402,
2010-04,10.551,
2010-07,10.754,
2010-10,11.054,
2011-01,11.184,
2011-04,11.090,
2011-07,11.082,
2011-10,11.221,
2012-01,11.355,
2012-04,11.356,
2012-07,11.439,
2012-10,11.681,
2013-01,11.884,
2013-04,11.912,
2013-07,11.925,
2013-10,12.006,
2014-01,12.001,
2014-04,11.925,
2014-07,11.961,
