"",BBK01.OXA8R2,BBK01.OXA8R2_FLAGS
"","Housing loans to domestic households and non-profit institutions serving households, traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:33,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,42.493,
2010-07,41.856,
2010-08,41.494,
2010-09,41.030,
2010-10,40.530,
2010-11,40.088,
2010-12,39.459,
2011-01,38.486,
2011-02,38.221,
2011-03,37.725,
2011-04,37.246,
2011-05,36.812,
2011-06,36.339,
2011-07,35.875,
2011-08,35.440,
2011-09,35.015,
2011-10,34.547,
2011-11,34.080,
2011-12,33.370,
2012-01,32.889,
2012-02,32.510,
2012-03,32.043,
2012-04,29.900,
2012-05,29.527,
2012-06,29.098,
2012-07,28.658,
2012-08,28.220,
2012-09,27.741,
2012-10,27.212,
2012-11,26.780,
2012-12,26.170,
2013-01,25.625,
2013-02,25.352,
2013-03,24.956,
2013-04,24.506,
2013-05,24.243,
2013-06,23.883,
2013-07,23.467,
2013-08,23.207,
2013-09,22.788,
2013-10,22.403,
2013-11,22.200,
2013-12,21.790,
2014-01,21.377,
2014-02,21.275,
2014-03,20.923,
2014-04,20.965,
2014-05,20.979,
2014-06,20.681,
2014-07,20.356,
2014-08,20.302,
2014-09,19.975,
2014-10,19.679,
2014-11,19.684,
2014-12,18.880,Provisional value
