"",BBDA1.M.DE.N.EX.S.A.A1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.A1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / America / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:42,
1993-01,2187428,
1993-02,2735189,
1993-03,2929398,
1993-04,2554379,
1993-05,2569159,
1993-06,2992088,
1993-07,2877469,
1993-08,2672910,
1993-09,2629221,
1993-10,2977552,
1993-11,3056438,
1993-12,3366838,
1994-01,2713237,
1994-02,2894715,
1994-03,3421205,
1994-04,2917584,
1994-05,3313394,
1994-06,3427642,
1994-07,2988206,
1994-08,3147777,
1994-09,3119111,
1994-10,3242265,
1994-11,3673255,
1994-12,3540006,
1995-01,3145576,
1995-02,3131118,
1995-03,3708653,
1995-04,3043805,
1995-05,3559878,
1995-06,3245790,
1995-07,3135187,
1995-08,2977175,
1995-09,3068010,
1995-10,3284667,
1995-11,3624368,
1995-12,3250335,
1996-01,2853363,
1996-02,3309221,
1996-03,3360564,
1996-04,3368319,
1996-05,3548997,
1996-06,3189743,
1996-07,3842315,
1996-08,3447099,
1996-09,3638395,
1996-10,4314555,
1996-11,3933187,
1996-12,3608910,
1997-01,3727520,
1997-02,3981521,
1997-03,4223385,
1997-04,4632969,
1997-05,4164508,
1997-06,4391124,
1997-07,5198145,
1997-08,4093884,
1997-09,5319376,
1997-10,5232781,
1997-11,4954874,
1997-12,4913386,
1998-01,4461896,
1998-02,4895663,
1998-03,5913973,
1998-04,5437498,
1998-05,5060084,
1998-06,5344732,
1998-07,5873156,
1998-08,5026466,
1998-09,5369677,
1998-10,5522160,
1998-11,5514096,
1998-12,5371585,
1999-01,4453936,
1999-02,4790737,
1999-03,5837614,
1999-04,5881509,
1999-05,5194196,
1999-06,5818861,
1999-07,6863118,
1999-08,5325476,
1999-09,5586089,
1999-10,6235892,
1999-11,6609312,
1999-12,6402860,
2000-01,5420686,
2000-02,6300585,
2000-03,7319705,
2000-04,5752043,
2000-05,7349536,
2000-06,6600487,
2000-07,7254859,
2000-08,6756342,
2000-09,6344639,
2000-10,7623243,
2000-11,7662686,
2000-12,6813167,
2001-01,7742072,
2001-02,6964832,
2001-03,7963425,
2001-04,7252260,
2001-05,7844770,
2001-06,7674387,
2001-07,8290356,
2001-08,7367449,
2001-09,7035676,
2001-10,8027111,
2001-11,7129864,
2001-12,6508637,
2002-01,7104227,
2002-02,6967097,
2002-03,7720422,
2002-04,7702084,
2002-05,6927663,
2002-06,7231420,
2002-07,8456156,
2002-08,7315930,
2002-09,7405670,
2002-10,8045228,
2002-11,7900523,
2002-12,6304256,
2003-01,7229754,
2003-02,6917061,
2003-03,6623435,
2003-04,6463124,
2003-05,6763397,
2003-06,6306147,
2003-07,7302945,
2003-08,5802160,
2003-09,6900897,
2003-10,6720081,
2003-11,6508084,
2003-12,6091663,
2004-01,6526684,
2004-02,6545572,
2004-03,7385559,
2004-04,7476342,
2004-05,6892809,
2004-06,7206147,
2004-07,7572180,
2004-08,6505385,
2004-09,7029350,
2004-10,7168602,
2004-11,7066103,
2004-12,7319687,
2005-01,6754307,
2005-02,6793543,
2005-03,7361919,
2005-04,7409966,
2005-05,7078220,
2005-06,8154720,
2005-07,7973529,
2005-08,7791690,
2005-09,8231925,
2005-10,8204464,
2005-11,8278416,
2005-12,7961423,
2006-01,7780257,
2006-02,8471530,
2006-03,9363586,
2006-04,7640302,
2006-05,8080068,
2006-06,8254855,
2006-07,8519701,
2006-08,7934343,
2006-09,9450922,
2006-10,9713348,
2006-11,10626838,
2006-12,8317946,
2007-01,8205151,
2007-02,8110258,
2007-03,8541065,
2007-04,7805798,
2007-05,7875131,
2007-06,8337680,
2007-07,8903039,
2007-08,8632754,
2007-09,8969891,
2007-10,9187772,
2007-11,8881939,
2007-12,7318426,
2008-01,8699206,
2008-02,8742533,
2008-03,8317729,
2008-04,8777119,
2008-05,7862300,
2008-06,9304139,
2008-07,8639196,
2008-08,8144733,
2008-09,9040756,
2008-10,9253390,
2008-11,8112588,
2008-12,6972287,
2009-01,6302747,
2009-02,6481629,
2009-03,6880076,
2009-04,6568778,
2009-05,5595107,
2009-06,6757893,
2009-07,7283775,
2009-08,5705245,
2009-09,6302657,
2009-10,6907363,
2009-11,7532011,
2009-12,6409572,
2010-01,5718176,
2010-02,6833307,
2010-03,9247612,
2010-04,8001261,
2010-05,7818299,
2010-06,9037498,
2010-07,9320851,
2010-08,8033609,
2010-09,9035921,
2010-10,9069235,
2010-11,9351583,
2010-12,7996620,
2011-01,7790413,
2011-02,8772059,
2011-03,9774849,
2011-04,8423488,
2011-05,9442446,
2011-06,8935135,
2011-07,9336750,
2011-08,9248882,
2011-09,9692683,
2011-10,9538706,
2011-11,9972173,
2011-12,9496904,
2012-01,10082493,
2012-02,10236000,
2012-03,11164732,
2012-04,9841104,
2012-05,10132994,
2012-06,10915709,
2012-07,11935176,
2012-08,11490706,
2012-09,11224286,
2012-10,11741054,
2012-11,11137863,
2012-12,8800844,
2013-01,10106075,
2013-02,10309666,
2013-03,11585306,
2013-04,11392879,
2013-05,10283471,
2013-06,10425875,
2013-07,11277271,
2013-08,10616140,
2013-09,11282880,
2013-10,12038927,
2013-11,11836824,
2013-12,9271858,
2014-01,10224479,
2014-02,10938629,
2014-03,11171216,
2014-04,10916737,
2014-05,10771011,
2014-06,10515284,
2014-07,12489511,
2014-08,10209895,
2014-09,12851438,
2014-10,12576009,
2014-11,11495042,
2014-12,11371139,
