"",BBK01.OEBL01O,BBK01.OEBL01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:02,
2002-01,-41.631,
2002-04,-42.183,
2002-07,-42.187,
2002-10,-45.129,
2003-01,-46.360,
2003-04,-46.682,
2003-07,-47.030,
2003-10,-49.528,
2004-01,-50.514,
2004-04,-51.042,
2004-07,-50.996,
2004-10,-51.823,
2005-01,5.356,
2005-04,5.421,
2005-07,5.343,
2005-10,5.366,
2006-01,5.337,
2006-04,5.236,
2006-07,5.059,
2006-10,5.221,
2007-01,5.391,
2007-04,5.629,
2007-07,5.926,
2007-10,6.330,
2008-01,6.482,
2008-04,6.650,
2008-07,6.983,
2008-10,7.645,
2009-01,7.646,
2009-04,7.732,
2009-07,7.666,
2009-10,7.471,
2010-01,7.268,
2010-04,7.354,
2010-07,9.583,
2010-10,9.035,
2011-01,9.226,
2011-04,9.195,
2011-07,9.023,
2011-10,8.763,
2012-01,8.798,
2012-04,8.599,
2012-07,8.444,
2012-10,8.291,
2013-01,8.019,
2013-04,7.994,
2013-07,7.830,
2013-10,7.888,
2014-01,7.785,
2014-04,7.763,
2014-07,8.014,
