"",BBK01.OEYJ02Q,BBK01.OEYJ02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:39,
2002-01,0.941,
2002-04,1.077,
2002-07,1.106,
2002-10,1.929,
2003-01,1.052,
2003-04,1.896,
2003-07,2.681,
2003-10,2.570,
2004-01,2.965,
2004-04,1.060,
2004-07,1.047,
2004-10,1.071,
2005-01,2.927,
2005-04,2.407,
2005-07,2.960,
2005-10,2.730,
2006-01,2.554,
2006-04,2.670,
2006-07,2.869,
2006-10,2.547,
2007-01,2.282,
2007-04,2.753,
2007-07,2.569,
2007-10,2.006,
2008-01,2.301,
2008-04,2.097,
2008-07,1.935,
2008-10,2.203,
2009-01,3.089,
2009-04,1.677,
2009-07,3.264,
2009-10,2.962,
2010-01,4.080,
2010-04,2.500,
2010-07,1.972,
2010-10,0.821,
2011-01,1.925,
2011-04,1.835,
2011-07,1.550,
2011-10,1.450,
2012-01,1.176,
2012-04,1.325,
2012-07,1.214,
2012-10,2.117,
2013-01,2.108,
2013-04,2.484,
2013-07,2.654,
2013-10,3.188,
2014-01,3.970,
2014-04,4.257,
2014-07,3.880,
