"",BBK01.OEBO02N,BBK01.OEBO02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:16,
2002-01,8.506,
2002-04,6.698,
2002-07,5.859,
2002-10,9.012,
2003-01,7.819,
2003-04,6.385,
2003-07,7.882,
2003-10,7.530,
2004-01,8.123,
2004-04,6.448,
2004-07,6.716,
2004-10,5.273,
2005-01,4.189,
2005-04,3.674,
2005-07,1.324,
2005-10,2.358,
2006-01,1.818,
2006-04,1.998,
2006-07,1.590,
2006-10,2.131,
2007-01,2.910,
2007-04,2.434,
2007-07,2.917,
2007-10,3.215,
2008-01,2.408,
2008-04,1.993,
2008-07,2.772,
2008-10,7.964,
2009-01,1.570,
2009-04,1.019,
2009-07,-1.824,
2009-10,0.933,
2010-01,5.206,
2010-04,3.607,
2010-07,4.866,
2010-10,5.339,
2011-01,5.279,
2011-04,4.021,
2011-07,3.773,
2011-10,3.606,
2012-01,5.870,
2012-04,3.270,
2012-07,3.336,
2012-10,3.137,
2013-01,3.550,
2013-04,2.726,
2013-07,2.804,
2013-10,2.578,
2014-01,2.311,
2014-04,1.899,
2014-07,3.357,
