"",BBSF2.M.1.T.00000.GEF01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:05,
2009-09,24880,
2009-10,23854,
2009-11,23611,
2009-12,24752,
2010-01,24285,
2010-02,24439,
2010-03,26645,
2010-04,27069,
2010-05,25985,
2010-06,26044,
2010-07,27031,
2010-08,26835,
2010-09,28156,
2010-10,29549,
2010-11,29163,
2010-12,30093,
2011-01,30592,
2011-02,31041,
2011-03,30389,
2011-04,31313,
2011-05,30561,
2011-06,29980,
2011-07,29049,
2011-08,25566,
2011-09,24534,
2011-10,27056,
2011-11,26123,
2011-12,27000,
2012-01,28017,
2012-02,29120,
2012-03,28691,
2012-04,29821,
2012-05,27712,
2012-06,28533,
2012-07,30230,
2012-08,29806,
2012-09,29836,
2012-10,30504,
2012-11,30809,
2012-12,30304,
2013-01,31522,
2013-02,32376,
2013-03,33438,
2013-04,33707,
2013-05,34481,
2013-06,32143,
2013-07,34613,
2013-08,34742,
2013-09,35729,
2013-10,37440,
2013-11,38023,
2013-12,35962,
2014-01,34950,
2014-02,36410,
2014-03,36696,
2014-04,36938,
2014-05,38362,
2014-06,38498,
2014-07,37652,
2014-08,34953,
2014-09,35330,
2014-10,36368,
2014-11,37065,
