"",BBK01.OEHB21J,BBK01.OEHB21J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:36,
2002-01,0.260,
2002-04,0.443,
2002-07,0.234,
2002-10,0.218,
2003-01,0.225,
2003-04,0.101,
2003-07,0.089,
2003-10,0.101,
2004-01,0.241,
2004-04,0.354,
2004-07,0.344,
2004-10,0.306,
2005-01,0.325,
2005-04,0.252,
2005-07,0.224,
2005-10,0.334,
2006-01,0.266,
2006-04,0.273,
2006-07,0.293,
2006-10,0.325,
2007-01,0.250,
2007-04,0.236,
2007-07,0.213,
2007-10,0.201,
2008-01,0.190,
2008-04,0.264,
2008-07,0.298,
2008-10,0.266,
2009-01,0.194,
2009-04,0.208,
2009-07,0.234,
2009-10,0.126,
2010-01,0.111,
2010-04,0.146,
2010-07,0.121,
2010-10,0.095,
2011-01,0.068,
2011-04,0.094,
2011-07,0.112,
2011-10,0.058,
2012-01,0.053,
2012-04,0.075,
2012-07,0.076,
2012-10,0.058,
2013-01,0.055,
2013-04,0.077,
2013-07,0.060,
2013-10,0.084,
2014-01,0.066,
2014-04,0.095,
2014-07,0.093,
