"",BBK01.OEHJ03U,BBK01.OEHJ03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:30,
2002-01,0.367,
2002-04,0.366,
2002-07,0.349,
2002-10,0.374,
2003-01,0.349,
2003-04,0.322,
2003-07,0.297,
2003-10,0.289,
2004-01,0.274,
2004-04,0.264,
2004-07,0.253,
2004-10,0.248,
2005-01,0.233,
2005-04,0.232,
2005-07,0.250,
2005-10,0.292,
2006-01,0.291,
2006-04,0.257,
2006-07,0.292,
2006-10,0.286,
2007-01,0.319,
2007-04,0.318,
2007-07,0.360,
2007-10,0.377,
2008-01,0.407,
2008-04,0.396,
2008-07,0.426,
2008-10,0.422,
2009-01,0.424,
2009-04,0.345,
2009-07,0.229,
2009-10,0.193,
2010-01,0.186,
2010-04,0.159,
2010-07,0.163,
2010-10,0.168,
2011-01,0.204,
2011-04,0.223,
2011-07,0.236,
2011-10,0.242,
2012-01,0.208,
2012-04,0.177,
2012-07,0.151,
2012-10,0.139,
2013-01,0.131,
2013-04,0.136,
2013-07,0.131,
2013-10,0.112,
2014-01,0.110,
2014-04,0.110,
2014-07,0.104,
