"",BBK01.WXI064,BBK01.WXI064_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:35,
2009-09,5,
2009-10,4,
2009-11,4,
2009-12,10,
2010-01,9,
2010-02,9,
2010-03,33,
2010-04,3,
2010-05,5,
2010-06,4,
2010-07,4,
2010-08,4,
2010-09,241,
2010-10,7,
2010-11,4,
2010-12,11,
2011-01,4,
2011-02,5,
2011-03,4,
2011-04,4,
2011-05,4,
2011-06,14,
2011-07,5,
2011-08,4,
2011-09,42,
2011-10,7,
2011-11,65,
2011-12,10,
2012-01,11,
2012-02,12,
2012-03,17,
2012-04,10,
2012-05,9,
2012-06,22,
2012-07,98,
2012-08,12,
2012-09,10,
2012-10,9,
2012-11,10,
2012-12,16,
2013-01,12,
2013-02,19,
2013-03,9,
2013-04,11,
2013-05,11,
2013-06,9,
2013-07,10,
2013-08,10,
2013-09,97,
2013-10,32,
2013-11,13,
2013-12,14,
2014-01,14,
2014-02,13,
2014-03,18,
2014-04,12,
2014-05,14,
2014-06,12,
2014-07,11,
2014-08,12,
2014-09,9,
2014-10,8,
2014-11,9,
