"",BBK01.OELB03N,BBK01.OELB03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:17,
2002-01,6.829,
2002-04,6.736,
2002-07,6.732,
2002-10,6.636,
2003-01,6.464,
2003-04,6.324,
2003-07,6.237,
2003-10,6.158,
2004-01,6.039,
2004-04,6.023,
2004-07,5.983,
2004-10,5.932,
2005-01,5.807,
2005-04,5.742,
2005-07,5.706,
2005-10,5.568,
2006-01,5.459,
2006-04,5.371,
2006-07,5.370,
2006-10,5.249,
2007-01,5.180,
2007-04,5.173,
2007-07,5.248,
2007-10,5.150,
2008-01,5.170,
2008-04,5.326,
2008-07,5.402,
2008-10,6.237,
2009-01,6.338,
2009-04,6.564,
2009-07,6.751,
2009-10,6.808,
2010-01,6.858,
2010-04,6.819,
2010-07,6.907,
2010-10,6.649,
2011-01,6.682,
2011-04,6.743,
2011-07,6.781,
2011-10,6.588,
2012-01,6.766,
2012-04,5.840,
2012-07,5.865,
2012-10,5.659,
2013-01,5.691,
2013-04,5.750,
2013-07,5.847,
2013-10,5.680,
2014-01,5.659,
2014-04,5.588,
2014-07,5.689,
