"",BBK01.PQH351,BBK01.PQH351_FLAGS
"",Lending to domestic enterprises and resident individuals / Short-term / Savings banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:49,
1958-10,2.417,
1959-01,-,Nothing exists
1959-04,2.596,
1959-07,-,Nothing exists
1959-10,2.638,
1960-01,-,Nothing exists
1960-04,2.942,
1960-07,-,Nothing exists
1960-10,3.010,
1961-01,-,Nothing exists
1961-04,3.405,
1961-07,-,Nothing exists
1961-10,3.329,
1962-01,-,Nothing exists
1962-04,3.797,
1962-07,-,Nothing exists
1962-10,3.710,
1963-01,-,Nothing exists
1963-04,4.340,
1963-07,-,Nothing exists
1963-10,4.147,
1964-01,-,Nothing exists
1964-04,4.712,
1964-07,-,Nothing exists
1964-10,4.589,
1965-01,4.914,
1965-04,5.215,
1965-07,5.268,
1965-10,5.349,
1966-01,5.835,
1966-04,6.285,
1966-07,6.318,
1966-10,6.155,
1967-01,6.321,
1967-04,6.553,
1967-07,6.431,
1967-10,6.405,
1968-01,6.774,
1968-04,7.203,
1968-07,7.190,
1968-10,7.524,
1969-01,8.098,
1969-04,8.793,
1969-07,8.922,
1969-10,9.628,
1970-01,10.800,
1970-04,11.559,
1970-07,11.486,
1970-10,11.440,
1971-01,11.894,
1971-04,12.482,
1971-07,12.961,
1971-10,13.284,
1972-01,13.848,
1972-04,14.850,
1972-07,15.280,
1972-10,16.177,
1973-01,16.827,
1973-04,17.952,
1973-07,17.825,
1973-10,17.985,
1974-01,18.502,
1974-04,19.172,
1974-07,18.842,
1974-10,18.363,
1975-01,18.790,
1975-04,18.896,
1975-07,18.275,
1975-10,18.075,
1976-01,18.948,
1976-04,19.809,
1976-07,20.539,
1976-10,20.580,
1977-01,21.458,
1977-04,22.585,
1977-07,22.353,
1977-10,22.524,
1978-01,23.202,
1978-04,24.484,
1978-07,24.363,
1978-10,24.508,
1979-01,26.271,
1979-04,28.287,
1979-07,29.222,
1979-10,29.915,
1980-01,31.160,
1980-04,33.242,
1980-07,33.348,
1980-10,34.441,
1981-01,36.743,
1981-04,38.045,
1981-07,37.765,
1981-10,37.832,
1982-01,38.796,
1982-04,40.167,
1982-07,39.487,
1982-10,38.668,
1983-01,38.796,
1983-04,39.780,
1983-07,39.740,
1983-10,39.641,
1984-01,41.180,
1984-04,43.056,
1984-07,42.997,
1984-10,42.111,
1985-01,43.837,
1985-04,44.945,
1985-07,43.745,
1985-10,42.050,
1986-01,43.527,
1986-04,43.645,
1986-07,42.126,
1986-10,40.234,
1987-01,41.283,
1987-04,41.499,
1987-07,40.581,
1987-10,39.425,
1988-01,40.495,
1988-04,41.584,
1988-07,41.728,
1988-10,41.103,
1989-01,42.880,
1989-04,44.943,
1989-07,45.366,
1989-10,44.849,
1990-01,46.851,
1990-04,49.071,
1990-07,49.130,
1990-10,49.820,
1991-01,54.188,
1991-04,57.506,
1991-07,58.176,
1991-10,59.919,
1992-01,61.111,
1992-04,64.068,
1992-07,63.913,
1992-10,63.671,
1993-01,65.093,
1993-04,65.804,
1993-07,65.748,
1993-10,64.136,
1994-01,63.997,
1994-04,65.581,
1994-07,65.925,
1994-10,65.564,
1995-01,67.925,
1995-04,71.077,
1995-07,72.056,
1995-10,71.492,
1996-01,71.206,
1996-04,72.576,
1996-07,72.106,
1996-10,72.840,
1997-01,72.345,
1997-04,72.616,
1997-07,72.825,
1997-10,71.780,
1998-01,71.709,
1998-04,73.231,
1998-07,74.302,
1998-10,74.645,
1999-01,69.163,
1999-04,69.426,
1999-07,69.627,
1999-10,68.191,
2000-01,69.297,
2000-04,72.125,
2000-07,72.988,
2000-10,73.420,
2001-01,74.790,
2001-04,77.015,
2001-07,76.937,
2001-10,75.168,
2002-01,75.501,
2002-04,76.235,
2002-07,75.517,
2002-10,74.154,
2003-01,73.039,
2003-04,72.424,
2003-07,71.258,
2003-10,67.937,
2004-01,65.699,
2004-04,65.463,
2004-07,64.236,
2004-10,61.140,
2005-01,60.870,
2005-04,59.756,
2005-07,58.337,
2005-10,56.826,
2006-01,56.297,
2006-04,56.431,
2006-07,55.347,
2006-10,53.564,
2007-01,53.327,
2007-04,53.716,
2007-07,53.960,
2007-10,53.969,
2008-01,54.617,
2008-04,54.709,
2008-07,54.691,
2008-10,54.970,
2009-01,57.556,
2009-04,57.884,
2009-07,55.307,
2009-10,52.405,
2010-01,53.005,
2010-04,52.520,
2010-07,51.324,
2010-10,49.055,
2011-01,50.420,
2011-04,51.001,
2011-07,50.200,
2011-10,48.080,
2012-01,49.522,
2012-04,50.121,
2012-07,49.516,
2012-10,48.749,
2013-01,50.286,
2013-04,50.182,
2013-07,47.741,
2013-10,45.924,
2014-01,46.594,
2014-04,46.590,
2014-07,45.421,
2014-10,43.300,
