"",BBK01.OEAA33H,BBK01.OEAA33H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:55,
2002-01,181.859,
2002-04,181.164,
2002-07,181.754,
2002-10,181.978,
2003-01,181.557,
2003-04,181.619,
2003-07,182.439,
2003-10,182.038,
2004-01,179.551,
2004-04,180.387,
2004-07,179.478,
2004-10,178.676,
2005-01,179.243,
2005-04,179.303,
2005-07,179.705,
2005-10,179.503,
2006-01,178.949,
2006-04,178.373,
2006-07,178.561,
2006-10,177.126,
2007-01,174.975,
2007-04,173.727,
2007-07,172.911,
2007-10,167.750,
2008-01,165.114,
2008-04,163.839,
2008-07,162.953,
2008-10,161.071,
2009-01,159.276,
2009-04,147.271,
2009-07,148.198,
2009-10,148.209,
2010-01,146.492,
2010-04,148.143,
2010-07,149.011,
2010-10,150.480,
2011-01,149.642,
2011-04,150.411,
2011-07,153.946,
2011-10,154.477,
2012-01,154.727,
2012-04,154.720,
2012-07,156.474,
2012-10,157.008,
2013-01,157.256,
2013-04,159.057,
2013-07,160.806,
2013-10,161.755,
2014-01,161.830,
2014-04,163.729,
2014-07,166.046,
