"",BBFB1.Q.N.DE.IT.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:50,
1991-01,931.275,
1991-04,1622.063,
1991-07,2046.758,
1991-10,1149.523,
1992-01,930.696,
1992-04,1597.325,
1992-07,1913.838,
1992-10,1107.464,
1993-01,853.654,
1993-04,1523.875,
1993-07,1861.719,
1993-10,1024.133,
1994-01,952.375,
1994-04,1714.039,
1994-07,2228.598,
1994-10,1135.908,
1995-01,1037.331,
1995-04,1850.468,
1995-07,2379.314,
1995-10,1298.010,
1996-01,1107.930,
1996-04,2030.928,
1996-07,2572.096,
1996-10,1384.412,
1997-01,1133.459,
1997-04,2028.959,
1997-07,2614.098,
1997-10,1456.522,
1998-01,1214.845,
1998-04,2228.479,
1998-07,2836.660,
1998-10,1500.583,
1999-01,1343.412,
1999-04,2412.317,
1999-07,3090.989,
1999-10,1815.406,
2000-01,1432.987,
2000-04,2643.945,
2000-07,3411.766,
2000-10,1935.349,
2001-01,1597.978,
2001-04,2960.650,
2001-07,3692.066,
2001-10,2004.874,
2002-01,1780.537,
2002-04,2763.392,
2002-07,3583.360,
2002-10,2042.845,
2003-01,1738.859,
2003-04,2809.724,
2003-07,3601.689,
2003-10,1988.689,
2004-01,1765.747,
2004-04,2605.558,
2004-07,2916.399,
2004-10,1819.625,
2005-01,1554.799,
2005-04,2233.369,
2005-07,3174.977,
2005-10,1839.633,
2006-01,1663.816,
2006-04,2689.876,
2006-07,2997.907,
2006-10,1884.586,
2007-01,1499.060,
2007-04,2613.856,
2007-07,3417.928,
2007-10,2100.573,
2008-01,1712.890,
2008-04,2837.006,
2008-07,3648.508,
2008-10,1849.552,
2009-01,1588.768,
2009-04,2316.359,
2009-07,3317.466,
2009-10,1817.924,
2010-01,1550.137,
2010-04,2698.956,
2010-07,3468.846,
2010-10,1931.032,
2011-01,1743.159,
2011-04,2649.903,
2011-07,3556.485,
2011-10,2112.327,
2012-01,1685.742,
2012-04,2876.440,
2012-07,3914.541,
2012-10,2047.752,
2013-01,1946.012,
2013-04,3037.410,
2013-07,4258.514,
2013-10,2419.374,
2014-01,1812.547,Provisional value
2014-04,3010.881,Provisional value
2014-07,4498.036,Provisional value
