"",BBSF2.M.1.T.00000.HED01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Hedgefunds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:28,
2009-09,0,
2009-10,37,
2009-11,2,
2009-12,25,
2010-01,45,
2010-02,7,
2010-03,236,
2010-04,113,
2010-05,70,
2010-06,0,
2010-07,50,
2010-08,5,
2010-09,4,
2010-10,3,
2010-11,3,
2010-12,21,
2011-01,25,
2011-02,11,
2011-03,12,
2011-04,2801,
2011-05,22,
2011-06,5,
2011-07,42,
2011-08,5,
2011-09,7,
2011-10,60,
2011-11,1,
2011-12,24,
2012-01,47,
2012-02,2,
2012-03,82,
2012-04,130,
2012-05,1,
2012-06,3,
2012-07,14,
2012-08,1,
2012-09,7,
2012-10,93,
2012-11,1,
2012-12,12,
2013-01,27,
2013-02,26,
2013-03,30,
2013-04,74,
2013-05,36,
2013-06,15,
2013-07,69,
2013-08,1,
2013-09,15,
2013-10,32,
2013-11,6,
2013-12,0,
2014-01,58,
2014-02,1,
2014-03,0,
2014-04,56,
2014-05,8,
2014-06,17,
2014-07,38,
2014-08,8,
2014-09,0,
2014-10,89,
2014-11,3,
