"",BBK01.OEYM03V,BBK01.OEYM03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:48,
2002-01,0.334,
2002-04,0.434,
2002-07,0.884,
2002-10,0.574,
2003-01,0.284,
2003-04,0.114,
2003-07,0.124,
2003-10,0.379,
2004-01,0.348,
2004-04,0.328,
2004-07,0.248,
2004-10,0.698,
2005-01,0.583,
2005-04,0.863,
2005-07,0.683,
2005-10,0.513,
2006-01,0.533,
2006-04,0.253,
2006-07,0.283,
2006-10,0.280,
2007-01,-,Nothing exists
2007-04,0.300,
2007-07,-,Nothing exists
2007-10,0.468,
2008-01,0.215,
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,0.172,
2010-01,0.075,
2010-04,0.275,
2010-07,0.255,
2010-10,0.246,
2011-01,0.264,
2011-04,0.164,
2011-07,0.108,
2011-10,0.101,
2012-01,0.211,
2012-04,0.206,
2012-07,0.600,
2012-10,0.695,
2013-01,0.792,
2013-04,0.246,
2013-07,0.597,
2013-10,0.318,
2014-01,0.290,
2014-04,0.517,
2014-07,0.507,
