"",BBK01.OEAH51U,BBK01.OEAH51U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:30,
2002-01,0.020,
2002-04,0.018,
2002-07,0.018,
2002-10,0.018,
2003-01,0.016,
2003-04,0.016,
2003-07,0.014,
2003-10,0.014,
2004-01,0.014,
2004-04,0.013,
2004-07,0.010,
2004-10,0.011,
2005-01,0.011,
2005-04,0.009,
2005-07,0.010,
2005-10,0.010,
2006-01,0.013,
2006-04,0.014,
2006-07,0.020,
2006-10,0.025,
2007-01,0.032,
2007-04,0.040,
2007-07,0.047,
2007-10,0.055,
2008-01,0.062,
2008-04,0.068,
2008-07,0.079,
2008-10,0.096,
2009-01,0.086,
2009-04,0.080,
2009-07,0.063,
2009-10,0.040,
2010-01,0.029,
2010-04,0.025,
2010-07,0.023,
2010-10,0.024,
2011-01,0.024,
2011-04,0.028,
2011-07,0.030,
2011-10,0.037,
2012-01,0.033,
2012-04,0.025,
2012-07,0.023,
2012-10,0.022,
2013-01,0.020,
2013-04,0.017,
2013-07,0.014,
2013-10,0.012,
2014-01,0.011,
2014-04,0.012,
2014-07,0.011,
