"",BBSF2.M.1.S.I1252.GEM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.GEM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:43,
2009-09,90,
2009-10,-287,
2009-11,68,
2009-12,-387,
2010-01,204,
2010-02,-197,
2010-03,172,
2010-04,645,
2010-05,403,
2010-06,186,
2010-07,74,
2010-08,181,
2010-09,341,
2010-10,157,
2010-11,98,
2010-12,828,
2011-01,313,
2011-02,-57,
2011-03,149,
2011-04,267,
2011-05,-139,
2011-06,65,
2011-07,51,
2011-08,-521,
2011-09,-40,
2011-10,339,
2011-11,1503,
2011-12,-55,
2012-01,-897,
2012-02,532,
2012-03,-116,
2012-04,119,
2012-05,292,
2012-06,-135,
2012-07,-117,
2012-08,278,
2012-09,780,
2012-10,357,
2012-11,255,
2012-12,0,
2013-01,438,
2013-02,333,
2013-03,812,
2013-04,281,
2013-05,591,
2013-06,359,
2013-07,367,
2013-08,234,
2013-09,-24,
2013-10,12,
2013-11,-142,
2013-12,316,
2014-01,147,
2014-02,332,
2014-03,315,
2014-04,429,
2014-05,344,
2014-06,492,
2014-07,613,
2014-08,515,
2014-09,442,
2014-10,497,
2014-11,337,
