"",BBFB1.Q.N.DE.TR.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:57,
1991-01,503.934,
1991-04,487.421,
1991-07,510.914,
1991-10,571.793,
1992-01,612.369,
1992-04,506.253,
1992-07,636.349,
1992-10,669.330,
1993-01,676.821,
1993-04,638.014,
1993-07,750.243,
1993-10,712.602,
1994-01,731.724,
1994-04,720.389,
1994-07,723.245,
1994-10,718.041,
1995-01,712.637,
1995-04,711.671,
1995-07,706.460,
1995-10,770.058,
1996-01,655.245,
1996-04,653.824,
1996-07,658.879,
1996-10,647.410,
1997-01,632.645,
1997-04,623.970,
1997-07,623.314,
1997-10,628.474,
1998-01,589.432,
1998-04,601.707,
1998-07,617.503,
1998-10,614.066,
1999-01,574.969,
1999-04,563.045,
1999-07,568.888,
1999-10,585.401,
2000-01,562.331,
2000-04,557.854,
2000-07,557.837,
2000-10,567.690,
2001-01,569.635,
2001-04,547.644,
2001-07,553.987,
2001-10,571.725,
2002-01,528.185,
2002-04,527.149,
2002-07,525.502,
2002-10,524.143,
2003-01,447.732,
2003-04,445.788,
2003-07,446.767,
2003-10,462.267,
2004-01,284.435,
2004-04,294.574,
2004-07,299.102,
2004-10,313.718,
2005-01,285.558,
2005-04,285.926,
2005-07,283.967,
2005-10,321.500,
2006-01,279.816,
2006-04,284.892,
2006-07,289.304,
2006-10,311.202,
2007-01,297.863,
2007-04,294.091,
2007-07,295.803,
2007-10,302.233,
2008-01,307.891,
2008-04,311.331,
2008-07,311.803,
2008-10,315.242,
2009-01,316.579,
2009-04,312.841,
2009-07,315.140,
2009-10,325.197,
2010-01,319.618,
2010-04,317.596,
2010-07,317.279,
2010-10,326.571,
2011-01,318.085,
2011-04,325.519,
2011-07,318.814,
2011-10,335.727,
2012-01,332.045,
2012-04,342.431,
2012-07,344.826,
2012-10,346.468,
2013-01,365.313,
2013-04,369.876,
2013-07,352.029,
2013-10,348.479,
2014-01,339.108,Provisional value
2014-04,374.811,Provisional value
2014-07,355.517,Provisional value
