"",BBK01.OEXM03M,BBK01.OEXM03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:43,
2002-01,0.307,
2002-04,0.311,
2002-07,0.287,
2002-10,0.271,
2003-01,0.187,
2003-04,0.184,
2003-07,0.184,
2003-10,0.233,
2004-01,0.195,
2004-04,0.179,
2004-07,0.150,
2004-10,0.213,
2005-01,0.192,
2005-04,0.274,
2005-07,0.200,
2005-10,0.212,
2006-01,0.190,
2006-04,0.227,
2006-07,0.204,
2006-10,0.259,
2007-01,0.224,
2007-04,0.302,
2007-07,0.346,
2007-10,0.367,
2008-01,0.345,
2008-04,0.381,
2008-07,0.203,
2008-10,0.315,
2009-01,0.274,
2009-04,0.312,
2009-07,0.378,
2009-10,0.438,
2010-01,0.348,
2010-04,0.252,
2010-07,0.219,
2010-10,0.203,
2011-01,0.255,
2011-04,0.225,
2011-07,0.232,
2011-10,0.223,
2012-01,0.390,
2012-04,0.326,
2012-07,0.183,
2012-10,0.231,
2013-01,0.762,
2013-04,0.764,
2013-07,0.918,
2013-10,0.818,
2014-01,0.794,
2014-04,1.087,
2014-07,1.417,
