"",BBK01.OEAC36H,BBK01.OEAC36H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:29,
2002-01,0.771,
2002-04,0.767,
2002-07,0.769,
2002-10,0.750,
2003-01,0.714,
2003-04,0.728,
2003-07,0.716,
2003-10,0.708,
2004-01,0.696,
2004-04,0.699,
2004-07,0.710,
2004-10,0.688,
2005-01,0.620,
2005-04,0.608,
2005-07,0.600,
2005-10,0.576,
2006-01,0.550,
2006-04,0.554,
2006-07,0.552,
2006-10,0.533,
2007-01,0.508,
2007-04,0.506,
2007-07,0.500,
2007-10,0.479,
2008-01,0.458,
2008-04,0.446,
2008-07,0.453,
2008-10,0.451,
2009-01,0.440,
2009-04,0.460,
2009-07,0.583,
2009-10,0.667,
2010-01,0.669,
2010-04,0.692,
2010-07,0.716,
2010-10,0.667,
2011-01,0.654,
2011-04,0.644,
2011-07,0.707,
2011-10,0.675,
2012-01,0.687,
2012-04,0.673,
2012-07,0.692,
2012-10,0.662,
2013-01,0.658,
2013-04,0.648,
2013-07,0.683,
2013-10,0.686,
2014-01,0.677,
2014-04,0.700,
2014-07,0.726,
