"",BBK01.WXI034,BBK01.WXI034_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:46,
2009-01,5191,
2009-02,4536,
2009-03,4652,
2009-04,3944,
2009-05,4649,
2009-06,4251,
2009-07,4174,
2009-08,4961,
2009-09,4768,
2009-10,4529,
2009-11,5238,
2009-12,5159,
2010-01,4902,
2010-02,4848,
2010-03,4672,
2010-04,4816,
2010-05,5355,
2010-06,4929,
2010-07,5174,
2010-08,6445,
2010-09,6312,
2010-10,5816,
2010-11,5841,
2010-12,5774,
2011-01,6462,
2011-02,6074,
2011-03,5794,
2011-04,5992,
2011-05,5600,
2011-06,5423,
2011-07,5542,
2011-08,6228,
2011-09,5813,
2011-10,6539,
2011-11,6666,
2011-12,6845,
2012-01,6654,
2012-02,6803,
2012-03,6029,
2012-04,5940,
2012-05,7063,
2012-06,6241,
2012-07,6219,
2012-08,7266,
2012-09,7151,
2012-10,6950,
2012-11,7944,
2012-12,8296,
2013-01,8092,
2013-02,6977,
2013-03,6853,
2013-04,7243,
2013-05,6798,
2013-06,6984,
2013-07,7174,
2013-08,6853,
2013-09,7379,
2013-10,7330,
2013-11,7674,
2013-12,7769,
2014-01,7450,
2014-02,7194,
2014-03,6958,
2014-04,6803,
2014-05,7344,
2014-06,7262,
2014-07,7502,
2014-08,8463,
2014-09,8318,
2014-10,8251,
2014-11,8908,
