"",BBK01.OEHK02Q,BBK01.OEHK02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:33,
2002-01,0.927,
2002-04,0.904,
2002-07,0.900,
2002-10,0.971,
2003-01,0.968,
2003-04,0.989,
2003-07,1.038,
2003-10,1.065,
2004-01,1.030,
2004-04,1.020,
2004-07,1.032,
2004-10,1.075,
2005-01,1.035,
2005-04,1.105,
2005-07,1.163,
2005-10,1.288,
2006-01,1.171,
2006-04,1.174,
2006-07,1.230,
2006-10,1.308,
2007-01,1.209,
2007-04,1.226,
2007-07,1.273,
2007-10,1.355,
2008-01,1.260,
2008-04,1.210,
2008-07,1.198,
2008-10,1.374,
2009-01,1.563,
2009-04,1.620,
2009-07,1.550,
2009-10,1.599,
2010-01,1.608,
2010-04,1.641,
2010-07,1.668,
2010-10,1.663,
2011-01,1.628,
2011-04,1.624,
2011-07,1.689,
2011-10,1.719,
2012-01,1.662,
2012-04,1.659,
2012-07,1.762,
2012-10,1.825,
2013-01,1.772,
2013-04,1.802,
2013-07,1.893,
2013-10,1.952,
2014-01,1.912,
2014-04,1.956,
2014-07,2.057,
