"",BBK01.OEHI04M,BBK01.OEHI04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:45,
2002-01,3.882,
2002-04,3.867,
2002-07,3.904,
2002-10,3.876,
2003-01,3.798,
2003-04,3.535,
2003-07,3.358,
2003-10,3.254,
2004-01,3.094,
2004-04,3.019,
2004-07,3.009,
2004-10,2.868,
2005-01,2.822,
2005-04,2.764,
2005-07,2.787,
2005-10,2.789,
2006-01,2.967,
2006-04,2.898,
2006-07,3.103,
2006-10,3.285,
2007-01,3.445,
2007-04,3.478,
2007-07,4.028,
2007-10,4.328,
2008-01,4.422,
2008-04,4.694,
2008-07,5.168,
2008-10,5.573,
2009-01,4.039,
2009-04,2.992,
2009-07,2.854,
2009-10,2.372,
2010-01,2.322,
2010-04,2.163,
2010-07,2.396,
2010-10,2.454,
2011-01,2.497,
2011-04,2.635,
2011-07,2.886,
2011-10,2.833,
2012-01,2.694,
2012-04,2.495,
2012-07,2.234,
2012-10,1.731,
2013-01,1.739,
2013-04,1.565,
2013-07,1.520,
2013-10,1.526,
2014-01,1.416,
2014-04,1.547,
2014-07,1.357,
