"",BBK01.OEAC07L,BBK01.OEAC07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:13,
2002-01,6.939,
2002-04,6.052,
2002-07,5.659,
2002-10,6.435,
2003-01,5.921,
2003-04,6.039,
2003-07,5.678,
2003-10,5.804,
2004-01,5.715,
2004-04,5.912,
2004-07,5.992,
2004-10,6.085,
2005-01,6.210,
2005-04,6.136,
2005-07,5.939,
2005-10,5.917,
2006-01,6.327,
2006-04,6.138,
2006-07,5.731,
2006-10,5.637,
2007-01,5.602,
2007-04,5.692,
2007-07,5.722,
2007-10,6.204,
2008-01,5.982,
2008-04,6.532,
2008-07,6.390,
2008-10,6.617,
2009-01,6.510,
2009-04,7.009,
2009-07,6.247,
2009-10,6.211,
2010-01,6.159,
2010-04,6.275,
2010-07,6.786,
2010-10,6.647,
2011-01,6.751,
2011-04,6.696,
2011-07,6.720,
2011-10,7.015,
2012-01,6.991,
2012-04,7.090,
2012-07,6.793,
2012-10,6.814,
2013-01,6.797,
2013-04,6.539,
2013-07,6.620,
2013-10,6.720,
2014-01,6.430,
2014-04,6.624,
2014-07,6.561,
