"",BBK01.OEAC23O,BBK01.OEAC23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:10,
2002-01,0.300,
2002-04,0.209,
2002-07,0.335,
2002-10,0.508,
2003-01,0.583,
2003-04,0.716,
2003-07,0.849,
2003-10,0.749,
2004-01,0.708,
2004-04,0.362,
2004-07,0.356,
2004-10,0.502,
2005-01,0.605,
2005-04,0.601,
2005-07,0.639,
2005-10,0.470,
2006-01,0.683,
2006-04,0.418,
2006-07,0.483,
2006-10,0.541,
2007-01,0.496,
2007-04,0.553,
2007-07,1.430,
2007-10,0.577,
2008-01,0.454,
2008-04,0.597,
2008-07,0.539,
2008-10,0.378,
2009-01,0.436,
2009-04,0.397,
2009-07,0.444,
2009-10,0.755,
2010-01,0.458,
2010-04,0.521,
2010-07,0.432,
2010-10,0.515,
2011-01,0.526,
2011-04,0.486,
2011-07,0.462,
2011-10,0.507,
2012-01,0.495,
2012-04,0.505,
2012-07,0.485,
2012-10,0.477,
2013-01,0.533,
2013-04,0.497,
2013-07,0.538,
2013-10,0.400,
2014-01,0.461,
2014-04,0.523,
2014-07,0.418,
