"",BBSF2.M.1.S.I0000.REN01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.REN01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Domestic investors total / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:45,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,35981,
1993-05,36405,
1993-06,37109,
1993-07,38693,
1993-08,41092,
1993-09,41948,
1993-10,43052,
1993-11,43747,
1993-12,44700,
1994-01,45171,
1994-02,45371,
1994-03,45911,
1994-04,46360,
1994-05,46304,
1994-06,47786,
1994-07,48968,
1994-08,49202,
1994-09,49183,
1994-10,49375,
1994-11,50675,
1994-12,50305,
1995-01,50637,
1995-02,51498,
1995-03,53351,
1995-04,54188,
1995-05,55449,
1995-06,55298,
1995-07,56805,
1995-08,57514,
1995-09,57963,
1995-10,58753,
1995-11,59555,
1995-12,60724,
1996-01,62681,
1996-02,62610,
1996-03,63670,
1996-04,64966,
1996-05,65614,
1996-06,65905,
1996-07,66851,
1996-08,67746,
1996-09,68672,
1996-10,70283,
1996-11,71593,
1996-12,71984,
1997-01,73899,
1997-02,75528,
1997-03,76515,
1997-04,78395,
1997-05,79011,
1997-06,82513,
1997-07,83831,
1997-08,84010,
1997-09,84063,
1997-10,82165,
1997-11,83155,
1997-12,85610,
1998-01,87592,
1998-02,89503,
1998-03,90823,
1998-04,90834,
1998-05,93652,
1998-06,95325,
1998-07,97009,
1998-08,99112,
1998-09,99705,
1998-10,101105,
1998-11,101988,
1998-12,103949,
1999-01,107606,
1999-02,107704,
1999-03,108154,
1999-04,112622,
1999-05,113745,
1999-06,111798,
1999-07,111063,
1999-08,110759,
1999-09,110645,
1999-10,111523,
1999-11,114444,
1999-12,120990,
2000-01,120860,
2000-02,123519,
2000-03,123376,
2000-04,125269,
2000-05,125443,
2000-06,125510,
2000-07,126763,
2000-08,128550,
2000-09,129196,
2000-10,130558,
2000-11,130009,
2000-12,131421,
2001-01,135411,
2001-02,135456,
2001-03,136125,
2001-04,135968,
2001-05,134677,
2001-06,135544,
2001-07,137473,
2001-08,137798,
2001-09,137979,
2001-10,141285,
2001-11,140912,
2001-12,143901,
2002-01,144184,
2002-02,145499,
2002-03,144516,
2002-04,145741,
2002-05,146574,
2002-06,145736,
2002-07,145095,
2002-08,149331,
2002-09,150789,
2002-10,151797,
2002-11,151973,
2002-12,150409,
2003-01,151740,
2003-02,154042,
2003-03,151586,
2003-04,153006,
2003-05,155024,
2003-06,155778,
2003-07,155154,
2003-08,155897,
2003-09,156803,
2003-10,152777,
2003-11,152829,
2003-12,148889,
2004-01,148059,
2004-02,148337,
2004-03,148783,
2004-04,148409,
2004-05,145830,
2004-06,145737,
2004-07,147017,
2004-08,147735,
2004-09,147760,
2004-10,149151,
2004-11,151208,
2004-12,153495,
2005-01,156332,
2005-02,155471,
2005-03,154280,
2005-04,155126,
2005-05,158357,
2005-06,159936,
2005-07,161457,
2005-08,161380,
2005-09,161632,
2005-10,158947,
2005-11,158531,
2005-12,158147,
2006-01,155550,
2006-02,154922,
2006-03,154188,
2006-04,153650,
2006-05,153544,
2006-06,153219,
2006-07,153891,
2006-08,156136,
2006-09,166454,
2006-10,167344,
2006-11,168780,
2006-12,165452,
2007-01,168703,
2007-02,171841,
2007-03,172515,
2007-04,176276,
2007-05,172909,
2007-06,172799,
2007-07,173706,
2007-08,174525,
2007-09,174493,
2007-10,176778,
2007-11,171543,
2007-12,176524,
2008-01,177765,
2008-02,177898,
2008-03,176040,
2008-04,177899,
2008-05,177310,
2008-06,173198,
2008-07,174529,
2008-08,177079,
2008-09,176044,
2008-10,172822,
2008-11,176205,
2008-12,176910,
2009-01,178270,
2009-02,178303,
2009-03,180644,
2009-04,182257,
2009-05,200971,
2009-06,204072,
2009-07,216488,
2009-08,221232,
2009-09,225847,
2009-10,224956,
2009-11,228606,
2009-12,231830,
2010-01,237765,
2010-02,241371,
2010-03,245460,
2010-04,247693,
2010-05,250370,
2010-06,250082,
2010-07,250520,
2010-08,259439,
2010-09,261188,
2010-10,263574,
2010-11,261915,
2010-12,258558,
2011-01,258008,
2011-02,260250,
2011-03,258306,
2011-04,256575,
2011-05,257724,
2011-06,257093,
2011-07,259366,
2011-08,260630,
2011-09,259225,
2011-10,262026,
2011-11,258075,
2011-12,268260,
2012-01,275369,
2012-02,281077,
2012-03,284402,
2012-04,285200,
2012-05,291992,
2012-06,293457,
2012-07,303128,
2012-08,307916,
2012-09,309403,
2012-10,313712,
2012-11,317493,
2012-12,321335,
2013-01,319402,
2013-02,320976,
2013-03,325124,
2013-04,330683,
2013-05,326751,
2013-06,318374,
2013-07,322314,
2013-08,319719,
2013-09,322874,
2013-10,327948,
2013-11,333551,
2013-12,333158,
2014-01,338721,
2014-02,343554,
2014-03,352105,
2014-04,350458,
2014-05,358032,
2014-06,361806,
2014-07,366986,
2014-08,376213,
2014-09,376277,
2014-10,379911,
2014-11,384066,
