"",BBK01.OEBM05I,BBK01.OEBM05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:44,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,0.002,
2002-10,0.002,
2003-01,0.002,
2003-04,0.001,
2003-07,0.002,
2003-10,0.009,
2004-01,0.002,
2004-04,0.006,
2004-07,0.006,
2004-10,0.006,
2005-01,0.006,
2005-04,0.007,
2005-07,0.006,
2005-10,0.008,
2006-01,0.008,
2006-04,0.008,
2006-07,0.010,
2006-10,0.016,
2007-01,0.016,
2007-04,0.016,
2007-07,0.015,
2007-10,0.020,
2008-01,0.020,
2008-04,0.020,
2008-07,0.021,
2008-10,0.021,
2009-01,0.021,
2009-04,0.019,
2009-07,0.021,
2009-10,0.014,
2010-01,0.014,
2010-04,0.013,
2010-07,0.014,
2010-10,0.013,
2011-01,0.076,
2011-04,0.077,
2011-07,0.082,
2011-10,0.084,
2012-01,0.040,
2012-04,0.093,
2012-07,0.120,
2012-10,0.129,
2013-01,0.156,
2013-04,0.163,
2013-07,0.170,
2013-10,0.182,
2014-01,0.151,
2014-04,0.155,
2014-07,0.181,
