"",BBK01.CEFO01,BBK01.CEFO01_FLAGS
"",Other deposits                                                 debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:42,
1999-01,128.4,
1999-04,129.2,
1999-07,130.1,
1999-10,128.7,
2000-01,135.1,
2000-04,132.9,
2000-07,133.6,
2000-10,124.3,
2001-01,134.7,
2001-04,127.8,
2001-07,128.4,
2001-10,129.4,
2002-01,124.7,
2002-04,128.3,
2002-07,132.2,
2002-10,132.8,
2003-01,133.0,
2003-04,134.9,
2003-07,134.6,
2003-10,129.4,
2004-01,126.4,
2004-04,126.6,
2004-07,127.0,
2004-10,136.6,
2005-01,133.4,
2005-04,134.6,
2005-07,143.0,
2005-10,140.4,
2006-01,143.1,
2006-04,146.5,
2006-07,148.5,
2006-10,147.3,
2007-01,151.8,
2007-04,147.0,
2007-07,162.6,
2007-10,170.5,
2008-01,156.9,
2008-04,162.9,
2008-07,167.4,
2008-10,163.2,
2009-01,154.1,
2009-04,147.3,
2009-07,149.5,
2009-10,137.0,
2010-01,136.9,
2010-04,121.7,
2010-07,133.1,
2010-10,136.1,
2011-01,126.0,
2011-04,113.5,
2011-07,97.1,
2011-10,107.6,
2012-01,104.6,
2012-04,91.1,
2012-07,85.8,
2012-10,89.5,
2013-01,70.2,
2013-04,53.8,
2013-07,73.1,
2013-10,77.2,
2014-01,55.9,
2014-04,40.6,
2014-07,51.1,
