"",BBK01.OEHK04K,BBK01.OEHK04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:44,
2002-01,0.478,
2002-04,0.450,
2002-07,0.474,
2002-10,0.656,
2003-01,0.579,
2003-04,0.568,
2003-07,0.564,
2003-10,0.518,
2004-01,0.473,
2004-04,0.467,
2004-07,0.449,
2004-10,0.365,
2005-01,0.423,
2005-04,0.351,
2005-07,0.303,
2005-10,0.367,
2006-01,0.383,
2006-04,0.406,
2006-07,0.443,
2006-10,0.556,
2007-01,0.553,
2007-04,0.489,
2007-07,0.516,
2007-10,0.608,
2008-01,0.541,
2008-04,0.589,
2008-07,0.532,
2008-10,0.675,
2009-01,0.332,
2009-04,0.236,
2009-07,0.179,
2009-10,0.174,
2010-01,0.184,
2010-04,0.172,
2010-07,0.164,
2010-10,0.163,
2011-01,0.167,
2011-04,0.187,
2011-07,0.244,
2011-10,0.247,
2012-01,0.216,
2012-04,0.121,
2012-07,0.098,
2012-10,0.063,
2013-01,0.061,
2013-04,0.038,
2013-07,0.042,
2013-10,0.037,
2014-01,0.036,
2014-04,0.034,
2014-07,0.030,
