"",BBK01.WJ5005,BBK01.WJ5005_FLAGS
"",Exchange rates on the Frankfurt exchange / GBP 1 = DM ... / United Kingdom,
unit,DEM (hypothetically euro-based),
unit multiplier,one,
last update,2012-04-18 09:19:13,
1953,11.7020,
1954,11.7350,comment
1955,11.7380,comment
1956,11.7080,
1957,11.7320,
1958,11.7150,
1959,11.7380,
1960,11.7090,
1961,11.2710,
1962,11.2250,
1963,11.1620,
1964,11.0980,
1965,11.1670,
1966,11.1670,
1967,10.9610,
1968,9.5580,
1969,9.3810,
1970,8.7360,
1971,8.5050,
1972,7.9740,
1973,6.5140,
1974,6.0550,
1975,5.4490,
1976,4.5530,
1977,4.0510,
1978,3.8530,
1979,3.8880,
1980,4.2270,
1981,4.5560,
1982,4.2420,
1983,3.8710,
1984,3.7910,
1985,3.7850,
1986,3.1840,
1987,2.9410,
1988,3.1240,
1989,3.0810,
1990,2.8770,
1991,2.9260,
1992,2.7530,
1993,2.4830,
1994,2.4816,
1995,2.2620,
1996,2.3478,
1997,2.8410,
1998,2.9142,
"","General: Average calculated from daily quotations. From 18 May 1953 to 30 December 1998 official quotation on the Frankfurt exchange. In accordance with a resolution by the management board of the Frankfurt exchange, with effect from January 1994 the exchange rate of the Pound sterling was set at four decimal places. For technical reasons, the exchange rates up to December 1993 were extended from three to four decimal places. From January 1999, euro reference exchange rates of the European Central Bank; see wj5627.",
"",Comment on 1954: Some of the exchange rates were quoted with four decimal places; the exact average is DM 11.7353.,
"",Comment on 1955: Some of the exchange rates were quoted with four decimal places; the exact average is DM 11.7376.,
