"",BBK01.CEWK0I,BBK01.CEWK0I_FLAGS
"",Net acquisition of financial assets Private Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:01,
1991-01,27.6,
1991-04,16.8,
1991-07,11.2,
1991-10,20.9,
1992-01,30.1,
1992-04,15.5,
1992-07,13.3,
1992-10,20.2,
1993-01,30.4,
1993-04,15.1,
1993-07,9.1,
1993-10,17.9,
1994-01,25.6,
1994-04,8.3,
1994-07,4.6,
1994-10,13.3,
1995-01,26.3,
1995-04,9.8,
1995-07,7.1,
1995-10,13.7,
1996-01,29.7,
1996-04,11.1,
1996-07,6.4,
1996-10,14.6,
1997-01,30.2,
1997-04,10.5,
1997-07,6.7,
1997-10,15.5,
1998-01,31.5,
1998-04,13.3,
1998-07,7.7,
1998-10,15.6,
1999-01,32.5,
1999-04,12.9,
1999-07,7.7,
1999-10,16.3,
2000-01,35.7,
2000-04,13.8,
2000-07,9.2,
2000-10,16.8,
2001-01,41.0,
2001-04,19.0,
2001-07,14.0,
2001-10,23.3,
2002-01,43.0,
2002-04,19.0,
2002-07,15.3,
2002-10,24.0,
2003-01,53.3,
2003-04,25.2,
2003-07,20.1,
2003-10,26.5,
2004-01,54.4,
2004-04,28.0,
2004-07,21.5,
2004-10,29.5,
2005-01,58.7,
2005-04,29.0,
2005-07,25.0,
2005-10,32.0,
2006-01,56.5,
2006-04,29.0,
2006-07,22.0,
2006-10,29.3,
2007-01,55.2,
2007-04,28.8,
2007-07,22.2,
2007-10,30.0,
2008-01,53.3,
2008-04,30.4,
2008-07,23.2,
2008-10,30.1,
2009-01,57.4,
2009-04,34.4,
2009-07,27.0,
2009-10,32.6,
2010-01,57.8,
2010-04,32.9,
2010-07,26.1,
2010-10,32.2,
2011-01,49.9,
2011-04,29.0,
2011-07,22.6,
2011-10,29.2,
2012-01,50.5,
2012-04,31.7,
2012-07,23.8,
2012-10,30.5,
2013-01,50.5,
2013-04,31.0,
2013-07,23.2,
2013-10,30.8,
2014-01,48.5,
