"",BBFB1.Q.N.DE.S3.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:52,
1991-01,-5.586,
1991-04,-421.982,
1991-07,212.803,
1991-10,312.908,
1992-01,320.322,
1992-04,-397.317,
1992-07,155.786,
1992-10,1094.157,
1993-01,33.107,
1993-04,138.766,
1993-07,-152.119,
1993-10,255.888,
1994-01,137.922,
1994-04,363.893,
1994-07,251.069,
1994-10,-66.448,
1995-01,-45.902,
1995-04,1538.438,
1995-07,489.116,
1995-10,841.901,
1996-01,668.120,
1996-04,-153.511,
1996-07,-383.806,
1996-10,147.598,
1997-01,-339.430,
1997-04,-571.091,
1997-07,993.550,
1997-10,-81.344,
1998-01,1040.939,
1998-04,-539.723,
1998-07,-602.431,
1998-10,1235.906,
1999-01,-650.452,
1999-04,401.699,
1999-07,-240.175,
1999-10,1037.763,
2000-01,432.641,
2000-04,1372.166,
2000-07,904.626,
2000-10,-202.045,
2001-01,-531.280,
2001-04,1064.516,
2001-07,-1802.910,
2001-10,742.673,
2002-01,220.957,
2002-04,716.551,
2002-07,-222.707,
2002-10,92.680,
2003-01,-1254.517,
2003-04,-93.949,
2003-07,-318.993,
2003-10,510.917,
2004-01,394.411,
2004-04,189.702,
2004-07,347.835,
2004-10,164.496,
2005-01,-1242.865,
2005-04,670.424,
2005-07,598.284,
2005-10,1612.552,
2006-01,519.258,
2006-04,2041.064,
2006-07,819.370,
2006-10,1518.165,
2007-01,783.620,
2007-04,921.568,
2007-07,732.340,
2007-10,1557.183,
2008-01,266.044,
2008-04,846.212,
2008-07,2131.715,
2008-10,-1700.794,
2009-01,-1525.835,
2009-04,-1284.345,
2009-07,-25.346,
2009-10,810.592,
2010-01,87.554,
2010-04,126.374,
2010-07,667.685,
2010-10,726.239,
2011-01,-183.798,
2011-04,177.955,
2011-07,-197.370,
2011-10,116.095,
2012-01,1611.142,
2012-04,-2009.914,
2012-07,110.289,
2012-10,1809.545,
2013-01,1326.908,
2013-04,1385.105,
2013-07,-992.837,
2013-10,-381.110,
2014-01,389.762,Provisional value
2014-04,1971.937,Provisional value
2014-07,-314.426,Provisional value
2014-10,12.907,Provisional value
