"",BBK01.OEBK01O,BBK01.OEBK01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:52,
2002-01,-0.742,
2002-04,-0.750,
2002-07,-0.751,
2002-10,-0.814,
2003-01,-0.778,
2003-04,-0.879,
2003-07,-0.902,
2003-10,-0.911,
2004-01,-0.914,
2004-04,-0.970,
2004-07,-1.042,
2004-10,-1.049,
2005-01,0.378,
2005-04,0.385,
2005-07,0.390,
2005-10,0.443,
2006-01,0.445,
2006-04,0.463,
2006-07,0.457,
2006-10,0.474,
2007-01,0.474,
2007-04,0.482,
2007-07,0.511,
2007-10,0.520,
2008-01,0.504,
2008-04,0.511,
2008-07,0.545,
2008-10,0.594,
2009-01,0.571,
2009-04,0.535,
2009-07,0.509,
2009-10,0.518,
2010-01,0.529,
2010-04,0.589,
2010-07,0.533,
2010-10,0.524,
2011-01,0.517,
2011-04,0.515,
2011-07,0.530,
2011-10,0.526,
2012-01,0.488,
2012-04,0.491,
2012-07,0.511,
2012-10,0.515,
2013-01,0.521,
2013-04,0.512,
2013-07,0.511,
2013-10,0.519,
2014-01,0.520,
2014-04,0.537,
2014-07,0.557,
