"",BBK01.CELQ01,BBK01.CELQ01_FLAGS
"",short-term time deposits                                 debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:18,
1999-01,-4.7,
1999-04,-2.0,
1999-07,4.0,
1999-10,0.0,
2000-01,9.6,
2000-04,-2.0,
2000-07,0.1,
2000-10,-10.4,
2001-01,6.9,
2001-04,-5.5,
2001-07,1.5,
2001-10,14.0,
2002-01,-9.5,
2002-04,4.3,
2002-07,8.9,
2002-10,6.8,
2003-01,2.1,
2003-04,-1.2,
2003-07,7.0,
2003-10,4.2,
2004-01,-5.0,
2004-04,-3.4,
2004-07,13.4,
2004-10,7.8,
2005-01,-7.1,
2005-04,5.6,
2005-07,6.2,
2005-10,-1.7,
2006-01,1.1,
2006-04,6.4,
2006-07,-5.4,
2006-10,2.9,
2007-01,-1.8,
2007-04,3.6,
2007-07,18.9,
2007-10,9.6,
2008-01,-0.5,
2008-04,-4.5,
2008-07,5.6,
2008-10,-15.3,
2009-01,-5.1,
2009-04,-7.1,
2009-07,-7.9,
2009-10,-24.0,
2010-01,8.6,
2010-04,-23.0,
2010-07,20.1,
2010-10,8.3,
2011-01,-6.3,
2011-04,-12.0,
2011-07,-24.2,
2011-10,5.8,
2012-01,-12.8,
2012-04,-25.9,
2012-07,-12.3,
2012-10,3.2,
2013-01,-18.1,
2013-04,-23.4,
2013-07,21.8,
2013-10,0.3,
2014-01,6.5,
2014-04,-7.6,
2014-07,-2.7,
