"",BBK01.OEAH73V,BBK01.OEAH73V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:11,
2002-01,1.785,
2002-04,1.902,
2002-07,2.242,
2002-10,2.082,
2003-01,1.473,
2003-04,1.175,
2003-07,1.391,
2003-10,1.895,
2004-01,1.370,
2004-04,1.245,
2004-07,1.112,
2004-10,1.909,
2005-01,1.609,
2005-04,1.847,
2005-07,1.634,
2005-10,1.642,
2006-01,1.474,
2006-04,1.801,
2006-07,1.590,
2006-10,1.689,
2007-01,1.567,
2007-04,1.761,
2007-07,1.456,
2007-10,2.278,
2008-01,2.126,
2008-04,2.025,
2008-07,2.008,
2008-10,2.021,
2009-01,1.117,
2009-04,1.071,
2009-07,0.909,
2009-10,1.169,
2010-01,0.860,
2010-04,1.080,
2010-07,1.004,
2010-10,1.135,
2011-01,1.175,
2011-04,1.184,
2011-07,1.686,
2011-10,1.773,
2012-01,1.968,
2012-04,2.283,
2012-07,2.430,
2012-10,2.510,
2013-01,2.656,
2013-04,2.447,
2013-07,2.879,
2013-10,2.974,
2014-01,2.507,
2014-04,2.996,
2014-07,3.013,
