"",BBFB1.M.N.DE.W1.S13.S1.T.D.D74._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D74._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / General government / Current international cooperation / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:04,
1991-01,236.211,
1991-02,317.045,
1991-03,156.245,
1991-04,149.382,
1991-05,130.308,
1991-06,171.514,
1991-07,300.038,
1991-08,374.336,
1991-09,66.078,
1991-10,182.279,
1991-11,71.274,
1991-12,225.353,
1992-01,353.155,
1992-02,382.503,
1992-03,133.872,
1992-04,195.670,
1992-05,131.732,
1992-06,136.831,
1992-07,454.188,
1992-08,142.444,
1992-09,47.779,
1992-10,138.731,
1992-11,194.039,
1992-12,143.325,
1993-01,439.819,
1993-02,180.909,
1993-03,51.149,
1993-04,259.880,
1993-05,63.625,
1993-06,141.357,
1993-07,266.490,
1993-08,322.458,
1993-09,45.533,
1993-10,203.383,
1993-11,197.946,
1993-12,385.775,
1994-01,215.754,
1994-02,327.885,
1994-03,172.898,
1994-04,271.510,
1994-05,76.137,
1994-06,87.657,
1994-07,542.483,
1994-08,79.056,
1994-09,89.956,
1994-10,201.648,
1994-11,229.192,
1994-12,289.136,
1995-01,228.945,
1995-02,164.902,
1995-03,219.718,
1995-04,226.369,
1995-05,46.496,
1995-06,157.942,
1995-07,236.961,
1995-08,142.958,
1995-09,115.827,
1995-10,400.982,
1995-11,62.884,
1995-12,544.984,
1996-01,178.748,
1996-02,129.983,
1996-03,453.511,
1996-04,143.405,
1996-05,53.768,
1996-06,143.235,
1996-07,247.551,
1996-08,336.898,
1996-09,78.903,
1996-10,177.590,
1996-11,211.702,
1996-12,173.018,
1997-01,331.983,
1997-02,170.231,
1997-03,118.757,
1997-04,200.899,
1997-05,75.961,
1997-06,144.053,
1997-07,464.823,
1997-08,113.921,
1997-09,92.830,
1997-10,90.710,
1997-11,153.128,
1997-12,415.347,
1998-01,259.610,
1998-02,185.053,
1998-03,276.176,
1998-04,174.381,
1998-05,89.219,
1998-06,81.118,
1998-07,445.571,
1998-08,169.584,
1998-09,55.071,
1998-10,114.371,
1998-11,291.437,
1998-12,150.367,
1999-01,200.009,
1999-02,407.505,
1999-03,79.320,
1999-04,244.306,
1999-05,55.450,
1999-06,190.587,
1999-07,398.404,
1999-08,184.882,
1999-09,108.591,
1999-10,78.949,
1999-11,332.153,
1999-12,337.213,
2000-01,282.783,
2000-02,306.980,
2000-03,130.473,
2000-04,305.114,
2000-05,111.246,
2000-06,117.915,
2000-07,545.327,
2000-08,67.828,
2000-09,101.971,
2000-10,106.592,
2000-11,283.275,
2000-12,290.969,
2001-01,414.113,
2001-02,349.186,
2001-03,132.808,
2001-04,84.195,
2001-05,254.516,
2001-06,194.246,
2001-07,375.172,
2001-08,233.977,
2001-09,53.355,
2001-10,149.753,
2001-11,94.510,
2001-12,216.644,
2002-01,370.282,
2002-02,494.923,
2002-03,66.475,
2002-04,217.584,
2002-05,107.362,
2002-06,128.487,
2002-07,649.548,
2002-08,166.357,
2002-09,97.059,
2002-10,113.192,
2002-11,150.724,
2002-12,219.604,
2003-01,560.893,
2003-02,233.495,
2003-03,68.198,
2003-04,195.092,
2003-05,117.862,
2003-06,489.425,
2003-07,204.505,
2003-08,232.241,
2003-09,96.897,
2003-10,156.314,
2003-11,54.089,
2003-12,250.643,
2004-01,578.896,
2004-02,190.160,
2004-03,158.817,
2004-04,136.505,
2004-05,163.312,
2004-06,401.911,
2004-07,170.184,
2004-08,146.394,
2004-09,101.210,
2004-10,114.566,
2004-11,140.339,
2004-12,346.920,
2005-01,661.398,
2005-02,197.868,
2005-03,124.085,
2005-04,122.657,
2005-05,125.100,
2005-06,364.944,
2005-07,175.984,
2005-08,386.177,
2005-09,147.116,
2005-10,110.755,
2005-11,155.237,
2005-12,170.912,
2006-01,644.420,
2006-02,227.733,
2006-03,107.618,
2006-04,151.047,
2006-05,144.410,
2006-06,192.815,
2006-07,376.450,
2006-08,110.231,
2006-09,88.481,
2006-10,209.774,
2006-11,241.438,
2006-12,286.443,
2007-01,706.648,
2007-02,336.634,
2007-03,140.931,
2007-04,121.940,
2007-05,126.245,
2007-06,337.127,
2007-07,447.833,
2007-08,175.345,
2007-09,65.111,
2007-10,175.607,
2007-11,215.081,
2007-12,287.397,
2008-01,700.901,
2008-02,350.685,
2008-03,148.062,
2008-04,242.084,
2008-05,89.749,
2008-06,381.975,
2008-07,525.078,
2008-08,270.762,
2008-09,150.877,
2008-10,180.298,
2008-11,268.348,
2008-12,392.599,
2009-01,848.974,
2009-02,365.240,
2009-03,290.915,
2009-04,301.746,
2009-05,144.388,
2009-06,313.636,
2009-07,316.015,
2009-08,500.959,
2009-09,177.469,
2009-10,286.732,
2009-11,280.596,
2009-12,456.976,
2010-01,1069.980,
2010-02,452.601,
2010-03,213.378,
2010-04,410.162,
2010-05,168.961,
2010-06,272.220,
2010-07,562.478,
2010-08,456.898,
2010-09,288.327,
2010-10,329.031,
2010-11,347.529,
2010-12,683.658,
2011-01,1084.510,
2011-02,410.473,
2011-03,209.722,
2011-04,439.471,
2011-05,185.032,
2011-06,236.252,
2011-07,513.519,
2011-08,439.909,
2011-09,229.342,
2011-10,241.775,
2011-11,392.987,
2011-12,676.804,
2012-01,1066.085,
2012-02,398.902,
2012-03,280.472,
2012-04,585.226,
2012-05,204.554,
2012-06,388.686,
2012-07,241.543,
2012-08,407.734,
2012-09,193.583,
2012-10,273.157,
2012-11,234.779,
2012-12,830.019,
2013-01,1236.743,
