"",BBK01.OEBB22G,BBK01.OEBB22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:40,
2002-01,0.990,
2002-04,0.868,
2002-07,0.747,
2002-10,0.760,
2003-01,0.583,
2003-04,1.156,
2003-07,2.090,
2003-10,1.743,
2004-01,1.766,
2004-04,0.976,
2004-07,1.453,
2004-10,1.423,
2005-01,1.206,
2005-04,1.037,
2005-07,0.265,
2005-10,0.214,
2006-01,0.226,
2006-04,0.068,
2006-07,0.077,
2006-10,0.079,
2007-01,0.036,
2007-04,0.044,
2007-07,0.034,
2007-10,0.032,
2008-01,0.031,
2008-04,0.027,
2008-07,0.339,
2008-10,0.029,
2009-01,0.071,
2009-04,0.719,
2009-07,0.045,
2009-10,0.004,
2010-01,0.017,
2010-04,0.005,
2010-07,0.003,
2010-10,0.006,
2011-01,0.008,
2011-04,0.001,
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,0.012,
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,0.004,
2013-01,0.005,
2013-04,0.002,
2013-07,0.002,
2013-10,0.028,
2014-01,0.079,
2014-04,0.076,
2014-07,0.072,
