"",BBK01.OEAE07O,BBK01.OEAE07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:51,
2002-01,2.573,
2002-04,2.588,
2002-07,2.599,
2002-10,2.614,
2003-01,2.573,
2003-04,2.574,
2003-07,2.403,
2003-10,2.673,
2004-01,2.604,
2004-04,2.634,
2004-07,2.631,
2004-10,2.681,
2005-01,2.669,
2005-04,2.644,
2005-07,2.606,
2005-10,2.619,
2006-01,2.576,
2006-04,2.602,
2006-07,2.586,
2006-10,2.634,
2007-01,2.686,
2007-04,2.689,
2007-07,2.684,
2007-10,2.723,
2008-01,2.699,
2008-04,2.668,
2008-07,2.599,
2008-10,2.549,
2009-01,2.517,
2009-04,2.467,
2009-07,2.462,
2009-10,2.436,
2010-01,2.450,
2010-04,2.367,
2010-07,2.467,
2010-10,2.499,
2011-01,2.326,
2011-04,2.290,
2011-07,2.319,
2011-10,2.329,
2012-01,2.353,
2012-04,2.921,
2012-07,3.001,
2012-10,3.009,
2013-01,3.024,
2013-04,3.060,
2013-07,3.232,
2013-10,3.307,
2014-01,3.288,
2014-04,3.215,
2014-07,3.150,
