"",BBK01.OEAC46N,BBK01.OEAC46N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:29,
2002-01,137.432,
2002-04,138.151,
2002-07,138.198,
2002-10,139.421,
2003-01,135.105,
2003-04,134.302,
2003-07,134.786,
2003-10,129.198,
2004-01,128.962,
2004-04,128.938,
2004-07,129.184,
2004-10,129.690,
2005-01,130.861,
2005-04,131.672,
2005-07,132.600,
2005-10,133.994,
2006-01,145.679,
2006-04,147.468,
2006-07,148.149,
2006-10,148.831,
2007-01,149.627,
2007-04,150.653,
2007-07,151.210,
2007-10,153.540,
2008-01,154.388,
2008-04,158.206,
2008-07,157.766,
2008-10,159.534,
2009-01,160.454,
2009-04,164.330,
2009-07,165.478,
2009-10,167.908,
2010-01,168.119,
2010-04,169.604,
2010-07,175.414,
2010-10,176.897,
2011-01,178.211,
2011-04,179.124,
2011-07,179.848,
2011-10,181.280,
2012-01,182.154,
2012-04,172.057,
2012-07,173.561,
2012-10,173.616,
2013-01,174.300,
2013-04,174.957,
2013-07,174.097,
2013-10,174.663,
2014-01,175.574,
2014-04,176.258,
2014-07,177.510,
