"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.LU.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.LU.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Luxembourg,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:10,
2009-09,26748,
2009-10,27463,
2009-11,28061,
2009-12,29004,
2010-01,29622,
2010-02,30233,
2010-03,32177,
2010-04,33865,
2010-05,33710,
2010-06,33864,
2010-07,34869,
2010-08,35765,
2010-09,35507,
2010-10,36666,
2010-11,37242,
2010-12,37105,
2011-01,38400,
2011-02,38959,
2011-03,38659,
2011-04,39683,
2011-05,40172,
2011-06,40241,
2011-07,40862,
2011-08,39140,
2011-09,39129,
2011-10,40163,
2011-11,40344,
2011-12,41047,
2012-01,43186,
2012-02,45324,
2012-03,46858,
2012-04,46751,
2012-05,46418,
2012-06,47093,
2012-07,49554,
2012-08,50219,
2012-09,51001,
2012-10,53797,
2012-11,54107,
2012-12,56933,
2013-01,58295,
2013-02,59466,
2013-03,61077,
2013-04,62323,
2013-05,63115,
2013-06,60617,
2013-07,62919,
2013-08,63359,
2013-09,64718,
2013-10,66105,
2013-11,66261,
2013-12,65968,
2014-01,66281,
2014-02,67959,
2014-03,69287,
2014-04,69987,
2014-05,71387,
2014-06,73461,
2014-07,75092,
2014-08,75431,
2014-09,74875,
2014-10,75802,
2014-11,76592,
