"",BBFN1.M.DE.N.1.L.AT.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:12,
1982-09,0.097,
1982-10,0.103,
1982-11,0.109,
1982-12,0.106,
1983-01,0.108,
1983-02,0.113,
1983-03,0.101,
1983-04,0.097,
1983-05,0.093,
1983-06,0.094,
1983-07,0.110,
1983-08,0.109,
1983-09,0.108,
1983-10,0.115,
1983-11,0.109,
1983-12,0.110,
1984-01,0.098,
1984-02,0.104,
1984-03,0.104,
1984-04,0.111,
1984-05,0.111,
1984-06,0.112,
1984-07,0.110,
1984-08,0.110,
1984-09,0.109,
1984-10,0.110,
1984-11,0.110,
1984-12,0.120,
1985-01,0.121,
1985-02,0.118,
1985-03,0.119,
1985-04,0.105,
1985-05,0.104,
1985-06,0.105,
1985-07,0.104,
1985-08,0.105,
1985-09,0.105,
1985-10,0.107,
1985-11,0.105,
1985-12,0.108,
1986-01,0.115,
1986-02,0.117,
1986-03,0.123,
1986-04,0.152,
1986-05,0.153,
1986-06,0.153,
1986-07,0.152,
1986-08,0.155,
1986-09,0.155,
1986-10,0.149,
1986-11,0.154,
1986-12,0.149,
1987-01,0.176,
1987-02,0.175,
1987-03,0.172,
1987-04,0.168,
1987-05,0.171,
1987-06,0.176,
1987-07,0.179,
1987-08,0.183,
1987-09,0.162,
1987-10,0.163,
1987-11,0.164,
1987-12,0.171,
1988-01,0.177,
1988-02,0.207,
1988-03,0.246,
1988-04,0.243,
1988-05,0.239,
1988-06,0.241,
1988-07,0.239,
1988-08,0.239,
1988-09,0.235,
1988-10,0.239,
1988-11,0.246,
1988-12,0.236,
1989-01,0.240,
1989-02,0.264,
1989-03,0.264,
1989-04,0.264,
1989-05,0.273,
1989-06,0.280,
1989-07,0.286,
1989-08,0.291,
1989-09,0.292,
1989-10,0.295,
1989-11,0.304,
1989-12,0.379,
1990-01,0.394,
1990-02,0.406,
1990-03,0.409,
1990-04,0.410,
1990-05,0.417,
1990-06,0.420,
1990-07,0.462,
1990-08,0.468,
1990-09,0.441,
1990-10,0.442,
1990-11,0.416,
1990-12,0.407,
1991-01,0.417,
1991-02,0.415,
1991-03,0.419,
1991-04,0.395,
1991-05,0.419,
1991-06,0.383,
1991-07,0.406,
1991-08,0.378,
1991-09,0.382,
1991-10,0.380,
1991-11,0.382,
1991-12,0.347,
1992-01,0.375,
1992-02,0.361,
1992-03,0.391,
1992-04,0.403,
1992-05,0.397,
1992-06,0.397,
1992-07,0.401,
1992-08,0.387,
1992-09,0.411,
1992-10,0.420,
1992-11,0.423,
1992-12,0.441,
1993-01,0.469,
1993-02,0.480,
1993-03,0.481,
1993-04,0.483,
1993-05,0.504,
1993-06,0.513,
1993-07,0.514,
1993-08,0.518,
1993-09,0.523,
1993-10,0.541,
1993-11,0.575,
1993-12,0.579,
1994-01,0.583,
1994-02,0.586,
1994-03,0.570,
1994-04,0.578,
1994-05,0.597,
1994-06,0.600,
1994-07,0.626,
1994-08,0.631,
1994-09,0.635,
1994-10,0.623,
1994-11,0.640,
1994-12,0.705,
1995-01,0.707,
1995-02,0.742,
1995-03,0.752,
1995-04,0.755,
1995-05,0.764,
1995-06,0.768,
1995-07,0.799,
1995-08,0.836,
1995-09,0.834,
1995-10,0.927,
1995-11,0.926,
1995-12,0.902,
1996-01,0.922,
1996-02,0.937,
1996-03,0.931,
1996-04,0.918,
1996-05,0.918,
1996-06,0.921,
1996-07,0.891,
1996-08,0.910,
1996-09,0.943,
1996-10,0.925,
1996-11,0.921,
1996-12,0.940,
1997-01,0.989,
1997-02,0.987,
